steps_per_episode,reward_per_episode,t_per_episode
23.0,-101.6,6.359
22.0,-104.2,4.76
23.0,-103.6,4.89
25.0,-106.0,5.332
24.0,-103.4,5.156
23.0,-103.0,4.901
25.0,-104.8,5.359
22.0,-103.0,4.705
29.0,-111.8,6.115
24.0,-106.6,5.134
27.0,-109.0,5.737
26.0,-102.8,5.536
24.0,-104.8,5.15
26.0,-108.4,5.533
23.0,-103.6,4.914
24.0,-105.4,5.13
29.0,-114.4,6.123
28.0,-108.6,5.955
23.0,-105.4,4.945
25.0,-107.6,5.321
27.0,-112.6,5.724
24.0,-107.2,5.138
22.0,-102.2,4.738
25.0,-106.0,5.35
25.0,-109.4,5.283
23.0,-106.0,4.92
24.0,-105.4,5.164
24.0,-106.6,5.122
27.0,-113.0,5.758
27.0,-113.19999999999997,5.723
26.0,-112.6,5.519
25.0,-111.4,5.345
189.0,-82.0,38.121
26.0,-111.8,5.521
185.0,-80.79999999999998,37.371
24.0,-106.0,5.162
21.0,-100.6,4.495
25.0,-107.6,5.333
23.0,-104.2,4.917
27.0,-111.19999999999997,5.692
27.0,-113.19999999999997,5.751
26.0,-112.0,5.553
25.0,-109.6,5.46
24.0,-106.0,5.137
25.0,-106.0,5.316
23.0,-106.0,4.908
198.0,-94.0,39.942
208.0,-83.00000000000001,41.959
195.0,-97.2,39.329
26.0,-109.6,5.493
26.0,-106.0,5.492
27.0,-108.8,5.725
24.0,-107.2,5.159
24.0,-108.4,5.104
27.0,-113.8,5.756
500.0,82.19999999999982,100.334
208.0,-83.60000000000002,41.977
218.0,-99.8,43.963
204.0,-85.80000000000001,41.135
424.0,-33.40000000000001,85.162
500.0,85.79999999999997,100.326
25.0,-103.6,5.398
210.0,-95.2,42.382
305.0,-58.60000000000005,61.343
490.0,-22.799999999999983,98.41
500.0,110.79999999999984,100.292
99.0,-109.0,20.22
500.0,95.4,100.333
300.0,-56.80000000000012,60.38
343.0,-81.60000000000004,68.949
334.0,-61.600000000000136,67.178
30.0,-116.8,6.32
29.0,-115.0,6.112
24.0,-103.6,5.134
28.0,-113.8,5.917
114.0,-93.6,23.151
