episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,23.0,6.359,-101.6,-4.618181818181817,-100.0,0.8
2,22.0,4.76,-104.2,-4.961904761904762,-100.0,0.0
3,23.0,4.89,-103.6,-4.709090909090909,-100.0,0.0
4,25.0,5.332,-106.0,-4.416666666666665,-100.0,0.0
5,24.0,5.156,-103.4,-4.495652173913044,-100.0,0.2
6,23.0,4.901,-103.0,-4.681818181818182,-100.0,0.0
7,25.0,5.359,-104.8,-4.366666666666665,-100.0,0.0
8,22.0,4.705,-103.0,-4.904761904761905,-100.0,0.0
9,29.0,6.115,-111.8,-3.9928571428571433,-100.0,0.2
10,24.0,5.134,-106.6,-4.634782608695652,-100.0,0.0
11,27.0,5.737,-109.0,-4.1923076923076925,-100.0,0.0
12,26.0,5.536,-102.8,-4.112,-100.0,0.8
13,24.0,5.15,-104.8,-4.556521739130433,-100.0,0.0
14,26.0,5.533,-108.4,-4.336,-100.0,0.0
15,23.0,4.914,-103.6,-4.709090909090909,-100.0,0.0
16,24.0,5.13,-105.4,-4.582608695652175,-100.0,0.0
17,29.0,6.123,-114.4,-4.085714285714286,-100.0,0.0
18,28.0,5.955,-108.6,-4.022222222222222,-100.0,0.8
19,23.0,4.945,-105.4,-4.790909090909091,-100.0,0.0
20,25.0,5.321,-107.6,-4.4833333333333325,-100.0,0.8
21,27.0,5.724,-112.6,-4.3307692307692305,-100.0,0.0
22,24.0,5.138,-107.2,-4.660869565217391,-100.0,0.0
23,22.0,4.738,-102.2,-4.866666666666667,-100.0,0.8
24,25.0,5.35,-106.0,-4.416666666666666,-100.0,0.0
25,25.0,5.283,-109.4,-4.558333333333333,-100.0,0.2
26,23.0,4.92,-106.0,-4.8181818181818175,-100.0,0.0
27,24.0,5.164,-105.4,-4.582608695652175,-100.0,0.0
28,24.0,5.122,-106.6,-4.634782608695652,-100.0,0.0
29,27.0,5.758,-113.0,-4.346153846153846,-100.0,0.8
30,27.0,5.723,-113.19999999999997,-4.3538461538461535,-100.0,0.0
31,26.0,5.519,-112.6,-4.504,-100.0,0.0
32,25.0,5.345,-111.4,-4.641666666666667,-100.0,0.0
33,189.0,38.121,-82.0,-0.4361702127659575,-100.0,0.8
34,26.0,5.521,-111.8,-4.472,-100.0,0.2
35,185.0,37.371,-80.79999999999998,-0.4391304347826087,-100.0,0.8
36,24.0,5.162,-106.0,-4.608695652173913,-100.0,0.0
37,21.0,4.495,-100.6,-5.029999999999999,-100.0,0.0
38,25.0,5.333,-107.6,-4.4833333333333325,-100.0,0.2
39,23.0,4.917,-104.2,-4.736363636363636,-100.0,0.0
40,27.0,5.692,-111.19999999999997,-4.276923076923077,-100.0,0.2
41,27.0,5.751,-113.19999999999997,-4.3538461538461535,-100.0,0.0
42,26.0,5.553,-112.0,-4.48,-100.0,0.0
43,25.0,5.46,-109.6,-4.5666666666666655,-100.0,0.0
44,24.0,5.137,-106.0,-4.608695652173913,-100.0,0.0
45,25.0,5.316,-106.0,-4.416666666666665,-100.0,0.0
46,23.0,4.908,-106.0,-4.8181818181818175,-100.0,0.0
47,198.0,39.942,-94.0,-0.47715736040609136,-100.0,0.8
48,208.0,41.959,-83.00000000000001,-0.4009661835748792,-100.0,0.8
49,195.0,39.329,-97.2,-0.5010309278350515,-100.0,0.8
50,26.0,5.493,-109.6,-4.384,-100.0,0.0
51,26.0,5.492,-106.0,-4.24,-100.0,0.0
52,27.0,5.725,-108.8,-4.184615384615385,-100.0,0.2
53,24.0,5.159,-107.2,-4.660869565217391,-100.0,0.0
54,24.0,5.104,-108.4,-4.71304347826087,-100.0,0.0
55,27.0,5.756,-113.8,-4.3769230769230765,-100.0,0.0
56,500.0,100.334,82.19999999999982,0.16472945891783566,-0.6000000000000001,0.8
57,208.0,41.977,-83.60000000000002,-0.40386473429951697,-100.0,0.8
58,218.0,43.963,-99.8,-0.4599078341013825,-100.0,0.8
59,204.0,41.135,-85.80000000000001,-0.4226600985221676,-100.0,0.8
60,424.0,85.162,-33.40000000000001,-0.0789598108747045,-100.0,0.8
61,500.0,100.326,85.79999999999997,0.17194388777555109,-0.6000000000000001,0.8
62,25.0,5.398,-103.6,-4.3166666666666655,-100.0,0.0
63,210.0,42.382,-95.2,-0.4555023923444976,-100.0,0.8
64,305.0,61.343,-58.60000000000005,-0.19276315789473683,-100.0,0.8
65,490.0,98.41,-22.799999999999983,-0.046625766871165646,-100.0,0.8
66,500.0,100.292,110.79999999999984,0.22204408817635277,-0.6000000000000001,0.8
67,99.0,20.22,-109.0,-1.1122448979591837,-100.0,0.8
68,500.0,100.333,95.4,0.19118236472945893,-0.6000000000000001,0.8
69,300.0,60.38,-56.80000000000012,-0.18996655518394648,-100.0,0.8
70,343.0,68.949,-81.60000000000004,-0.23859649122807017,-100.0,0.8
71,334.0,67.178,-61.600000000000136,-0.184984984984985,-100.0,0.8
72,30.0,6.32,-116.8,-4.027586206896552,-100.0,-0.6000000000000001
73,29.0,6.112,-115.0,-4.107142857142857,-100.0,0.0
74,24.0,5.134,-103.6,-4.504347826086956,-100.0,0.0
75,28.0,5.917,-113.8,-4.214814814814814,-100.0,0.0
76,114.0,23.151,-93.6,-0.8283185840707965,-100.0,0.8
77,35.0,7.344999999999998,-108.19999999999997,-3.182352941176471,-100.0,0.8
78,252.0,50.884,-66.40000000000006,-0.26454183266932274,-100.0,0.8
79,203.0,40.943,-94.0,-0.46534653465346537,-100.0,0.8
80,217.0,43.746,-95.0,-0.4398148148148149,-100.0,0.8
81,267.0,53.798,-92.2,-0.34661654135338343,-100.0,0.8
82,500.0,100.342,51.999999999999886,0.10420841683366731,-0.6000000000000001,0.8
83,500.0,100.401,24.199999999999942,0.048496993987975925,-0.6000000000000001,0.8
84,429.0,86.233,-84.80000000000014,-0.19813084112149532,-100.0,0.8
85,27.0,5.743,-113.19999999999997,-4.3538461538461535,-100.0,0.0
86,26.0,5.527,-110.8,-4.432,-100.0,0.0
87,303.0,60.927,-85.00000000000007,-0.2814569536423841,-100.0,0.8
88,117.0,23.707,-102.2,-0.8810344827586206,-100.0,0.8
89,255.0,51.362,-92.0,-0.3622047244094488,-100.0,0.8
90,28.0,5.965,-113.19999999999997,-4.192592592592593,-100.0,0.0
91,27.0,5.749,-104.0,-4.0,-100.0,0.8
92,218.0,43.923,-86.00000000000003,-0.39631336405529954,-100.0,0.8
93,25.0,5.294,-109.0,-4.541666666666665,-100.0,0.0
94,26.0,5.568,-113.19999999999997,-4.528,-100.0,0.0
95,27.0,5.694,-113.19999999999997,-4.3538461538461535,-100.0,0.0
96,26.0,5.53,-111.4,-4.456,-100.0,0.0
97,26.0,5.54,-113.19999999999997,-4.528,-100.0,0.0
98,207.0,41.734,-80.6,-0.39126213592233006,-100.0,0.8
99,234.0,47.12,-77.60000000000002,-0.3330472103004292,-100.0,0.8
100,204.0,41.11,-73.59999999999998,-0.3625615763546798,-100.0,0.8
101,500.0,100.341,78.39999999999998,0.15711422845691383,-0.6000000000000001,0.8
102,500.0,100.39,94.00000000000003,0.188376753507014,-0.6000000000000001,0.8
103,141.0,28.643,-107.19999999999997,-0.7657142857142858,-100.0,0.8
104,500.0,100.304,94.79999999999994,0.18997995991983968,-0.6000000000000001,0.8
105,216.0,43.633,-81.40000000000003,-0.37860465116279074,-100.0,0.8
106,217.0,43.702,-84.20000000000006,-0.3898148148148149,-100.0,0.8
107,122.0,24.737,-104.4,-0.8628099173553718,-100.0,0.8
108,23.0,4.941,-104.6,-4.754545454545454,-100.0,0.2
109,269.0,54.158,-85.20000000000003,-0.31791044776119404,-100.0,0.8
110,119.0,24.109,-106.6,-0.9033898305084744,-100.0,0.8
111,28.0,5.922,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
112,317.0,63.74,-92.79999999999998,-0.2936708860759494,-100.0,0.8
113,27.0,5.751,-115.0,-4.423076923076923,-100.0,-0.6000000000000001
114,27.0,5.71,-115.0,-4.423076923076923,-100.0,-0.6000000000000001
115,23.0,4.939,-107.6,-4.890909090909091,-100.0,0.2
116,22.0,4.695,-103.6,-4.933333333333333,-100.0,0.0
117,25.0,5.34,-107.8,-4.491666666666665,-100.0,0.0
118,27.0,5.728,-114.4,-4.4,-100.0,0.0
119,27.0,5.767,-115.0,-4.423076923076923,-100.0,-0.6000000000000001
120,27.0,5.722,-112.4,-4.323076923076924,-100.0,0.8
121,22.0,4.71,-102.4,-4.876190476190477,-100.0,0.0
122,29.0,6.128,-116.19999999999997,-4.15,-100.0,-0.6000000000000001
123,26.0,5.513,-104.2,-4.168,-100.0,0.0
124,22.0,4.78,-101.8,-4.847619047619047,-100.0,0.0
125,27.0,5.671,-113.8,-4.3769230769230765,-100.0,0.0
126,112.0,22.769,-97.2,-0.8756756756756757,-100.0,0.8
127,24.0,5.109,-109.6,-4.765217391304348,-100.0,0.0
128,27.0,5.766,-115.0,-4.423076923076923,-100.0,-0.6000000000000001
129,28.0,5.923,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
130,25.0,5.306,-105.0,-4.374999999999999,-100.0,0.2
131,24.0,5.131,-106.0,-4.608695652173913,-100.0,0.0
132,117.0,23.777,-104.0,-0.896551724137931,-100.0,0.8
133,500.0,100.358,42.79999999999991,0.08577154308617235,-0.6000000000000001,0.8
134,332.0,66.831,-102.4,-0.3093655589123867,-100.0,0.8
135,327.0,65.799,-86.60000000000004,-0.265644171779141,-100.0,0.8
136,231.0,46.561,-82.60000000000005,-0.35913043478260875,-100.0,0.8
137,368.0,73.902,-78.40000000000003,-0.21362397820163487,-100.0,0.8
138,213.0,42.921,-75.80000000000007,-0.3575471698113208,-100.0,0.8
139,23.0,4.927,-103.0,-4.681818181818182,-100.0,0.0
140,33.0,6.932,-110.8,-3.4625,-100.0,0.8
141,31.0,6.539,-112.6,-3.753333333333333,-100.0,0.8
142,220.0,44.342,-97.2,-0.4438356164383562,-100.0,0.8
143,36.0,7.492,-111.2,-3.1771428571428566,-100.0,0.2
144,241.0,48.533,-98.4,-0.41,-100.0,0.8
145,127.0,25.778,-118.4,-0.9396825396825396,-100.0,0.8
146,27.0,5.754,-114.4,-4.4,-100.0,0.0
147,28.0,5.951,-112.0,-4.148148148148148,-100.0,0.0
148,27.0,5.717,-115.0,-4.423076923076923,-100.0,-0.6000000000000001
149,23.0,4.925,-103.6,-4.709090909090909,-100.0,0.0
150,117.0,23.72,-110.8,-0.9551724137931034,-100.0,0.8
151,24.0,5.136,-104.2,-4.530434782608696,-100.0,0.0
152,500.0,100.31,-7.600000000000031,-0.015230460921843703,-0.6000000000000001,0.8
153,131.0,26.59,-120.0,-0.9230769230769232,-100.0,0.8
154,500.0,100.357,30.00000000000002,0.060120240480961915,-0.6000000000000001,0.8
155,347.0,69.809,-121.8,-0.35202312138728326,-100.0,0.8
156,397.0,79.718,-120.40000000000003,-0.30404040404040406,-100.0,0.8
157,28.0,5.924,-113.8,-4.214814814814814,-100.0,0.0
158,24.0,5.116,-103.6,-4.504347826086956,-100.0,0.0
159,27.0,5.768,-112.0,-4.3076923076923075,-100.0,0.0
160,24.0,5.106,-104.8,-4.556521739130433,-100.0,0.0
161,500.0,100.347,-18.40000000000008,-0.036873747494990006,-0.6000000000000001,0.8
162,113.0,22.966,-96.6,-0.8624999999999998,-100.0,0.8
163,500.0,100.539,39.99999999999988,0.08016032064128256,-0.6000000000000001,0.8
164,500.0,100.405,38.599999999999866,0.07735470941883767,-0.6000000000000001,0.8
165,228.0,46.059,-107.0,-0.47136563876651993,-100.0,0.8
166,500.0,100.321,72.40000000000006,0.14509018036072147,-0.6000000000000001,0.8
167,251.0,50.582,-66.39999999999998,-0.2656,-100.0,0.8
168,500.0,100.395,79.79999999999981,0.15991983967935874,-0.6000000000000001,0.8
169,500.0,100.424,96.6,0.19358717434869735,-0.6000000000000001,0.8
170,500.0,100.439,54.79999999999986,0.10981963927855712,-0.6000000000000001,0.8
171,23.0,5.033,-104.8,-4.763636363636364,-100.0,0.0
172,221.0,44.484,-103.4,-0.47,-100.0,0.8
173,217.0,43.727,-93.8,-0.4342592592592592,-100.0,0.8
174,207.0,41.725,-78.60000000000005,-0.3815533980582525,-100.0,0.8
175,500.0,100.371,64.99999999999997,0.13026052104208416,-0.6000000000000001,0.8
176,24.0,5.181,-107.8,-4.68695652173913,-100.0,0.0
177,500.0,100.359,73.39999999999985,0.14709418837675353,-0.6000000000000001,0.8
178,224.0,45.22,-76.00000000000003,-0.3408071748878924,-100.0,0.8
179,24.0,5.131,-106.0,-4.608695652173913,-100.0,0.0
180,500.0,100.348,63.59999999999982,0.12745490981963928,-0.6000000000000001,0.8
181,263.0,52.995,-81.00000000000009,-0.30916030534351147,-100.0,0.8
182,419.0,84.16899999999998,-98.20000000000013,-0.2349282296650718,-100.0,0.8
183,275.0,55.351,-95.60000000000004,-0.348905109489051,-100.0,0.8
184,224.0,45.124,-81.00000000000003,-0.3632286995515695,-100.0,0.8
185,210.0,42.328,-79.80000000000005,-0.3818181818181818,-100.0,0.8
186,220.0,44.369,-91.40000000000002,-0.417351598173516,-100.0,0.8
187,112.0,22.771,-102.0,-0.9189189189189187,-100.0,0.8
188,26.0,5.495,-110.6,-4.424,-100.0,0.8
189,217.0,43.777,-96.4,-0.4462962962962963,-100.0,0.8
190,219.0,44.132,-97.2,-0.44587155963302755,-100.0,0.8
191,500.0,100.394,6.1999999999999975,0.012424849699398784,-0.6000000000000001,0.8
192,214.0,43.154,-101.0,-0.4741784037558686,-100.0,0.8
193,500.0,100.374,56.59999999999995,0.11342685370741482,-0.6000000000000001,0.8
194,204.0,41.22,-77.80000000000001,-0.38325123152709367,-100.0,0.8
195,204.0,41.167,-85.2,-0.41970443349753694,-100.0,0.8
196,500.0,100.327,38.19999999999981,0.07655310621242484,-0.6000000000000001,0.8
197,500.0,100.427,31.59999999999985,0.06332665330661322,-0.6000000000000001,0.8
198,500.0,100.707,-1.2000000000000424,-0.0024048096192384933,-0.6000000000000001,0.8
199,464.0,93.258,-80.2000000000001,-0.1732181425485961,-100.0,0.8
200,26.0,5.526,-103.0,-4.12,-100.0,0.0
