steps_per_episode,reward_per_episode,t_per_episode
24.0,-106.0,5.128
25.0,-104.8,5.331
213.0,-115.8,42.917
24.0,-107.2,5.126
27.0,-112.0,5.746
24.0,-105.4,5.158
27.0,-108.2,5.722
24.0,-107.8,5.12
28.0,-105.8,5.903
25.0,-108.4,5.309
24.0,-106.0,5.144
28.0,-110.2,5.959
25.0,-107.0,5.338
21.0,-103.6,4.718
196.0,-91.0,39.585
26.0,-107.8,5.507
297.0,-89.2,59.892
24.0,-108.4,5.137
26.0,-110.0,5.52
22.0,-104.2,4.736
21.0,-102.4,4.508
26.0,-110.8,5.559
24.0,-106.6,5.162
22.0,-99.8,4.729
25.0,-109.6,5.363
27.0,-113.19999999999997,5.707
24.0,-108.4,5.098
27.0,-109.6,5.744
26.0,-110.8,5.458
24.0,-105.4,5.126
23.0,-102.4,4.964
24.0,-106.0,5.088
23.0,-103.6,4.92
21.0,-100.0,4.565
23.0,-103.0,4.924
23.0,-104.8,4.934
25.0,-110.2,5.291
25.0,-109.0,5.345
27.0,-111.8,5.702
22.0,-103.6,4.736
203.0,-76.80000000000001,40.977
209.0,-68.59999999999997,42.118
25.0,-109.6,5.341
22.0,-101.8,4.738
198.0,-73.59999999999998,39.952
27.0,-113.19999999999997,5.701
24.0,-108.4,5.355
26.0,-112.0,5.503
28.0,-115.6,5.981
25.0,-111.4,5.316
26.0,-113.8,5.511
29.0,-115.6,6.155
22.0,-103.6,4.729
27.0,-113.19999999999997,5.725
26.0,-107.6,5.535
25.0,-107.8,5.328
189.0,-70.80000000000001,38.117
113.0,-96.6,22.963
27.0,-113.19999999999997,5.685
25.0,-103.0,5.37
27.0,-113.19999999999997,5.727
25.0,-107.2,5.305
27.0,-112.0,5.737
210.0,-88.00000000000003,42.307
215.0,-97.0,43.361
215.0,-77.20000000000002,43.338
352.0,-59.20000000000014,70.743
27.0,-114.4,5.759
26.0,-104.8,5.495
192.0,-94.2,38.732
26.0,-106.0,5.537
347.0,-63.00000000000013,69.703
205.0,-87.00000000000003,41.41
340.0,-66.20000000000005,68.348
500.0,82.99999999999997,100.353
204.0,-71.60000000000005,41.158
322.0,-54.40000000000005,64.772
500.0,69.99999999999997,100.354
426.0,-58.2,85.572
31.0,-116.8,6.574
29.0,-107.8,6.12
25.0,-106.4,5.335
333.0,-22.600000000000048,66.879
394.0,-40.80000000000011,79.17199999999998
30.0,-110.2,6.333
24.0,-105.4,5.118
500.0,68.59999999999981,100.359
27.0,-111.8,5.806
27.0,-112.6,5.724
185.0,-75.39999999999996,37.362
199.0,-83.80000000000001,40.134
206.0,-90.40000000000002,41.572
407.0,-73.6000000000001,81.73399999999998
214.0,-88.00000000000003,43.128
198.0,-87.6,40.04
187.0,-89.59999999999998,37.734
215.0,-102.8,43.333
211.0,-85.80000000000001,42.521
26.0,-104.2,5.527
25.0,-104.2,5.345
461.0,-47.600000000000186,92.543
31.0,-114.8,6.476
253.0,-89.0,50.98
211.0,-82.80000000000001,42.553
199.0,-83.40000000000003,40.218
115.0,-103.6,23.333
209.0,-83.00000000000009,42.108
28.0,-110.2,5.92
199.0,-71.60000000000002,40.176
120.0,-111.0,24.26
26.0,-110.0,5.533
22.0,-101.2,4.729
22.0,-103.6,4.716
23.0,-104.8,4.992
23.0,-105.4,4.925
27.0,-110.2,5.705
29.0,-113.19999999999997,6.175
25.0,-104.2,5.334
246.0,-71.60000000000002,49.564
203.0,-84.6,41.065
493.0,-76.80000000000005,98.98200000000001
285.0,-81.00000000000003,57.419
239.0,-116.4,48.2
248.0,-108.79999999999998,49.943
229.0,-96.6,46.209
89.0,-97.8,18.094
34.0,-106.4,7.135
28.0,-115.6,5.922
37.0,-112.4,7.737
29.0,-114.4,6.114
36.0,-110.6,7.534
24.0,-105.2,5.113
230.0,-83.20000000000003,46.389
217.0,-96.40000000000002,43.909
204.0,-83.20000000000002,41.197
208.0,-83.80000000000001,42.007
25.0,-110.8,5.295
26.0,-112.6,5.541
228.0,-93.4,45.972
22.0,-101.6,4.695
294.0,-85.20000000000002,59.211
205.0,-81.60000000000002,41.351
500.0,78.79999999999987,100.457
500.0,53.99999999999992,100.48
218.0,-93.8,44.003
211.0,-65.19999999999995,42.579
500.0,67.5999999999999,100.387
28.0,-114.19999999999997,5.993
207.0,-75.20000000000003,41.774
189.0,-79.6,38.148
197.0,-76.80000000000001,39.749
200.0,-91.0,40.317
500.0,111.39999999999984,100.411
183.0,-71.4,37.034
500.0,70.19999999999992,100.392
25.0,-107.2,5.417
29.0,-115.6,6.13
24.0,-106.6,5.146
500.0,44.399999999999984,100.354
26.0,-105.4,5.627
24.0,-104.2,5.135
22.0,-103.0,4.718
34.0,-111.0,7.16
500.0,66.19999999999992,100.348
204.0,-83.40000000000003,41.224
500.0,64.19999999999989,100.494
410.0,-77.40000000000015,82.41299999999998
204.0,-76.60000000000007,41.2
500.0,68.39999999999999,100.369
284.0,-86.40000000000006,57.217
26.0,-110.8,5.515
25.0,-106.0,5.323
180.0,-81.79999999999998,36.376
500.0,71.39999999999976,100.416
500.0,73.99999999999997,100.387
30.0,-116.8,6.398
500.0,71.79999999999983,100.43
500.0,66.19999999999985,100.45
500.0,76.39999999999985,100.389
500.0,85.39999999999985,100.522
25.0,-105.0,5.426
500.0,109.7999999999998,100.432
190.0,-80.0,38.491
229.0,-91.8,46.147
190.0,-79.20000000000002,38.306
192.0,-85.80000000000001,38.737
208.0,-95.6,41.969
27.0,-102.0,5.733
207.0,-92.8,41.783
206.0,-80.80000000000005,41.511
287.0,-49.80000000000009,57.74
218.0,-73.6,43.94
388.0,-48.60000000000016,77.958
25.0,-107.2,5.308
25.0,-109.0,5.339
203.0,-87.0,40.969
197.0,-69.4,39.889
195.0,-86.80000000000001,39.36
224.0,-95.6,45.127
23.0,-107.2,4.907
