episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,24.0,5.128,-106.0,-4.608695652173913,-100.0,0.0
2,25.0,5.331,-104.8,-4.366666666666665,-100.0,0.0
3,213.0,42.917,-115.8,-0.5462264150943397,-100.0,0.8
4,24.0,5.126,-107.2,-4.660869565217391,-100.0,0.0
5,27.0,5.746,-112.0,-4.3076923076923075,-100.0,0.0
6,24.0,5.158,-105.4,-4.582608695652175,-100.0,0.0
7,27.0,5.722,-108.2,-4.161538461538462,-100.0,0.2
8,24.0,5.12,-107.8,-4.68695652173913,-100.0,0.0
9,28.0,5.903,-105.8,-3.9185185185185194,-100.0,0.8
10,25.0,5.309,-108.4,-4.516666666666667,-100.0,0.0
11,24.0,5.144,-106.0,-4.608695652173913,-100.0,0.0
12,28.0,5.959,-110.2,-4.0814814814814815,-100.0,0.0
13,25.0,5.338,-107.0,-4.458333333333333,-100.0,0.8
14,21.0,4.718,-103.6,-5.18,-100.0,0.0
15,196.0,39.585,-91.0,-0.4666666666666666,-100.0,0.8
16,26.0,5.507,-107.8,-4.312,-100.0,0.0
17,297.0,59.892,-89.2,-0.3013513513513514,-100.0,0.8
18,24.0,5.137,-108.4,-4.71304347826087,-100.0,0.0
19,26.0,5.52,-110.0,-4.4,-100.0,0.2
20,22.0,4.736,-104.2,-4.961904761904762,-100.0,0.0
21,21.0,4.508,-102.4,-5.12,-100.0,0.0
22,26.0,5.559,-110.8,-4.432,-100.0,0.0
23,24.0,5.162,-106.6,-4.634782608695652,-100.0,0.0
24,22.0,4.729,-99.8,-4.752380952380952,-100.0,0.8
25,25.0,5.363,-109.6,-4.566666666666667,-100.0,0.0
26,27.0,5.707,-113.19999999999997,-4.3538461538461535,-100.0,0.0
27,24.0,5.098,-108.4,-4.71304347826087,-100.0,0.0
28,27.0,5.744,-109.6,-4.215384615384616,-100.0,0.0
29,26.0,5.458,-110.8,-4.432,-100.0,0.0
30,24.0,5.126,-105.4,-4.582608695652175,-100.0,0.0
31,23.0,4.964,-102.4,-4.654545454545455,-100.0,0.0
32,24.0,5.088,-106.0,-4.608695652173913,-100.0,0.0
33,23.0,4.92,-103.6,-4.709090909090909,-100.0,0.0
34,21.0,4.565,-100.0,-5.0,-100.0,0.0
35,23.0,4.924,-103.0,-4.681818181818182,-100.0,0.0
36,23.0,4.934,-104.8,-4.763636363636364,-100.0,0.0
37,25.0,5.291,-110.2,-4.591666666666666,-100.0,0.0
38,25.0,5.345,-109.0,-4.541666666666666,-100.0,0.0
39,27.0,5.702,-111.8,-4.3,-100.0,0.8
40,22.0,4.736,-103.6,-4.933333333333333,-100.0,0.0
41,203.0,40.977,-76.80000000000001,-0.38019801980198015,-100.0,0.8
42,209.0,42.118,-68.59999999999997,-0.32980769230769236,-100.0,0.8
43,25.0,5.341,-109.6,-4.566666666666667,-100.0,0.0
44,22.0,4.738,-101.8,-4.847619047619047,-100.0,0.0
45,198.0,39.952,-73.59999999999998,-0.3736040609137056,-100.0,0.8
46,27.0,5.701,-113.19999999999997,-4.3538461538461535,-100.0,0.0
47,24.0,5.355,-108.4,-4.71304347826087,-100.0,0.0
48,26.0,5.503,-112.0,-4.48,-100.0,0.0
49,28.0,5.981,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
50,25.0,5.316,-111.4,-4.641666666666667,-100.0,0.0
51,26.0,5.511,-113.8,-4.552,-100.0,0.0
52,29.0,6.155,-115.6,-4.128571428571428,-100.0,0.0
53,22.0,4.729,-103.6,-4.933333333333333,-100.0,0.0
54,27.0,5.725,-113.19999999999997,-4.3538461538461535,-100.0,0.0
55,26.0,5.535,-107.6,-4.303999999999999,-100.0,0.2
56,25.0,5.328,-107.8,-4.491666666666665,-100.0,0.0
57,189.0,38.117,-70.80000000000001,-0.3765957446808511,-100.0,0.8
58,113.0,22.963,-96.6,-0.8624999999999998,-100.0,0.8
59,27.0,5.685,-113.19999999999997,-4.3538461538461535,-100.0,0.0
60,25.0,5.37,-103.0,-4.291666666666666,-100.0,0.0
61,27.0,5.727,-113.19999999999997,-4.3538461538461535,-100.0,0.0
62,25.0,5.305,-107.2,-4.466666666666666,-100.0,0.0
63,27.0,5.737,-112.0,-4.3076923076923075,-100.0,0.0
64,210.0,42.307,-88.00000000000003,-0.42105263157894735,-100.0,0.8
65,215.0,43.361,-97.0,-0.4532710280373832,-100.0,0.8
66,215.0,43.338,-77.20000000000002,-0.36074766355140186,-100.0,0.8
67,352.0,70.743,-59.20000000000014,-0.16866096866096866,-100.0,0.8
68,27.0,5.759,-114.4,-4.4,-100.0,0.0
69,26.0,5.495,-104.8,-4.192,-100.0,0.0
70,192.0,38.732,-94.2,-0.4931937172774869,-100.0,0.8
71,26.0,5.537,-106.0,-4.24,-100.0,0.0
72,347.0,69.703,-63.00000000000013,-0.18208092485549127,-100.0,0.8
73,205.0,41.41,-87.00000000000003,-0.4264705882352941,-100.0,0.8
74,340.0,68.348,-66.20000000000005,-0.1952802359882006,-100.0,0.8
75,500.0,100.353,82.99999999999997,0.16633266533066132,-0.6000000000000001,0.8
76,204.0,41.158,-71.60000000000005,-0.3527093596059114,-100.0,0.8
77,322.0,64.772,-54.40000000000005,-0.1694704049844237,-100.0,0.8
78,500.0,100.354,69.99999999999997,0.1402805611222445,-0.6000000000000001,0.8
79,426.0,85.572,-58.2,-0.13694117647058823,-100.0,0.8
80,31.0,6.574,-116.8,-3.8933333333333335,-100.0,0.0
81,29.0,6.12,-107.8,-3.85,-100.0,0.8
82,25.0,5.335,-106.4,-4.433333333333333,-100.0,0.2
83,333.0,66.879,-22.600000000000048,-0.06807228915662651,-100.0,0.8
84,394.0,79.17199999999998,-40.80000000000011,-0.1038167938931298,-100.0,0.8
85,30.0,6.333,-110.2,-3.8,-100.0,0.8
86,24.0,5.118,-105.4,-4.582608695652175,-100.0,0.0
87,500.0,100.359,68.59999999999981,0.13747494989979958,-0.6000000000000001,0.8
88,27.0,5.806,-111.8,-4.3,-100.0,0.8
89,27.0,5.724,-112.6,-4.3307692307692305,-100.0,0.0
90,185.0,37.362,-75.39999999999996,-0.40978260869565214,-100.0,0.8
91,199.0,40.134,-83.80000000000001,-0.4232323232323232,-100.0,0.8
92,206.0,41.572,-90.40000000000002,-0.4409756097560976,-100.0,0.8
93,407.0,81.73399999999998,-73.6000000000001,-0.18128078817733992,-100.0,0.8
94,214.0,43.128,-88.00000000000003,-0.41314553990610325,-100.0,0.8
95,198.0,40.04,-87.6,-0.4446700507614213,-100.0,0.8
96,187.0,37.734,-89.59999999999998,-0.48172043010752685,-100.0,0.8
97,215.0,43.333,-102.8,-0.480373831775701,-100.0,0.8
98,211.0,42.521,-85.80000000000001,-0.40857142857142864,-100.0,0.8
99,26.0,5.527,-104.2,-4.168,-100.0,0.0
100,25.0,5.345,-104.2,-4.341666666666667,-100.0,0.0
101,461.0,92.543,-47.600000000000186,-0.1034782608695652,-100.0,0.8
102,31.0,6.476,-114.8,-3.826666666666666,-100.0,0.2
103,253.0,50.98,-89.0,-0.3531746031746032,-100.0,0.8
104,211.0,42.553,-82.80000000000001,-0.3942857142857143,-100.0,0.8
105,199.0,40.218,-83.40000000000003,-0.42121212121212126,-100.0,0.8
106,115.0,23.333,-103.6,-0.9087719298245615,-100.0,0.8
107,209.0,42.108,-83.00000000000009,-0.3990384615384616,-100.0,0.8
108,28.0,5.92,-110.2,-4.0814814814814815,-100.0,0.8
109,199.0,40.176,-71.60000000000002,-0.3616161616161616,-100.0,0.8
110,120.0,24.26,-111.0,-0.9327731092436976,-100.0,0.8
111,26.0,5.533,-110.0,-4.4,-100.0,0.2
112,22.0,4.729,-101.2,-4.819047619047619,-100.0,0.0
113,22.0,4.716,-103.6,-4.933333333333333,-100.0,0.0
114,23.0,4.992,-104.8,-4.763636363636364,-100.0,0.0
115,23.0,4.925,-105.4,-4.790909090909091,-100.0,0.0
116,27.0,5.705,-110.2,-4.2384615384615385,-100.0,0.0
117,29.0,6.175,-113.19999999999997,-4.042857142857144,-100.0,0.0
118,25.0,5.334,-104.2,-4.341666666666666,-100.0,0.0
119,246.0,49.564,-71.60000000000002,-0.2922448979591836,-100.0,0.8
120,203.0,41.065,-84.6,-0.4188118811881189,-100.0,0.8
121,493.0,98.98200000000001,-76.80000000000005,-0.15609756097560976,-100.0,0.8
122,285.0,57.419,-81.00000000000003,-0.2852112676056338,-100.0,0.8
123,239.0,48.2,-116.4,-0.4890756302521009,-100.0,0.8
124,248.0,49.943,-108.79999999999998,-0.44048582995951424,-100.0,0.8
125,229.0,46.209,-96.6,-0.42368421052631583,-100.0,0.8
126,89.0,18.094,-97.8,-1.1113636363636363,-100.0,0.8
127,34.0,7.135,-106.4,-3.2242424242424246,-100.0,0.8
128,28.0,5.922,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
129,37.0,7.737,-112.4,-3.1222222222222222,-100.0,0.2
130,29.0,6.114,-114.4,-4.085714285714286,-100.0,0.0
131,36.0,7.534,-110.6,-3.16,-100.0,0.2
132,24.0,5.113,-105.2,-4.573913043478261,-100.0,0.2
133,230.0,46.389,-83.20000000000003,-0.3633187772925765,-100.0,0.8
134,217.0,43.909,-96.40000000000002,-0.4462962962962963,-100.0,0.8
135,204.0,41.197,-83.20000000000002,-0.4098522167487685,-100.0,0.8
136,208.0,42.007,-83.80000000000001,-0.40483091787439607,-100.0,0.8
137,25.0,5.295,-110.8,-4.616666666666665,-100.0,0.0
138,26.0,5.541,-112.6,-4.504,-100.0,0.0
139,228.0,45.972,-93.4,-0.41145374449339206,-100.0,0.8
140,22.0,4.695,-101.6,-4.838095238095238,-100.0,0.8
