steps_per_episode,reward_per_episode,t_per_episode
22.0,-103.0,4.909
27.0,-110.0,5.771
24.0,-104.8,5.097
23.0,-105.4,4.927
26.0,-106.0,5.555
26.0,-105.4,5.506
24.0,-107.2,5.117
29.0,-107.2,6.115
27.0,-109.0,5.76
23.0,-102.4,4.933
23.0,-103.6,4.912
25.0,-106.0,5.361
24.0,-107.2,5.107
23.0,-107.2,4.942
23.0,-105.4,4.957
25.0,-110.2,5.298
24.0,-105.4,5.163
21.0,-101.8,4.478
22.0,-105.4,4.73
22.0,-103.6,4.761
28.0,-112.0,6.11
26.0,-112.0,5.546
26.0,-112.6,5.522
27.0,-112.0,5.721
28.0,-113.8,5.927
27.0,-111.19999999999997,5.734
30.0,-116.19999999999997,6.332
27.0,-114.4,5.747
25.0,-109.6,5.302
27.0,-111.4,5.724
22.0,-104.2,4.74
26.0,-112.4,5.542
37.0,-108.2,7.735
25.0,-108.4,5.316
25.0,-109.0,5.318
27.0,-113.19999999999997,5.758
25.0,-107.6,5.303
24.0,-106.4,5.135
24.0,-105.4,5.128
24.0,-104.2,5.14
25.0,-111.4,5.329
24.0,-104.2,5.151
25.0,-110.8,5.346
22.0,-103.6,4.714
27.0,-113.8,5.645
191.0,-71.8,38.57
23.0,-106.0,4.895
187.0,-74.0,37.743
22.0,-101.8,4.715
210.0,-94.4,42.371
23.0,-105.4,4.929
25.0,-104.8,5.328
203.0,-81.20000000000002,40.919
28.0,-112.6,5.918
27.0,-115.0,5.759
351.0,-57.00000000000008,70.502
223.0,-85.20000000000003,44.922
207.0,-78.00000000000003,41.744
191.0,-99.6,38.556
500.0,70.99999999999983,100.352
29.0,-104.2,6.21
25.0,-107.8,5.324
24.0,-103.0,5.101
500.0,97.79999999999987,100.348
500.0,84.00000000000011,100.425
117.0,-111.19999999999997,23.768
186.0,-80.0,37.578
201.0,-98.4,40.516
208.0,-76.80000000000005,41.93
201.0,-77.60000000000002,40.553
265.0,-80.00000000000004,53.347
32.0,-117.4,6.71
29.0,-116.19999999999997,6.159
24.0,-104.2,5.1
29.0,-115.0,6.138
27.0,-115.0,5.724
27.0,-113.19999999999997,5.757
23.0,-103.0,4.878
25.0,-104.8,5.368
318.0,-78.60000000000005,63.94
192.0,-67.79999999999998,38.753
209.0,-81.20000000000003,42.113
222.0,-96.6,44.711
260.0,-74.20000000000003,52.37
240.0,-96.40000000000003,48.32
33.0,-117.4,6.958
213.0,-73.20000000000002,42.924
500.0,53.3999999999999,100.298
194.0,-78.39999999999998,39.223
204.0,-83.40000000000003,41.143
25.0,-107.8,5.326
27.0,-113.4,5.717
28.0,-114.4,5.919
27.0,-115.0,5.766
28.0,-115.6,5.914
28.0,-115.0,5.886
27.0,-113.8,5.742
26.0,-112.0,5.57
26.0,-103.6,5.526
105.0,-104.6,21.305
212.0,-82.80000000000007,42.743
27.0,-115.0,5.716
26.0,-108.2,5.552
281.0,-69.40000000000003,56.502
248.0,-86.0,49.908
207.0,-73.00000000000004,41.75
28.0,-113.8,5.927
24.0,-103.0,5.116
500.0,75.59999999999998,100.393
216.0,-62.20000000000003,43.559
189.0,-64.80000000000001,38.149
212.0,-85.60000000000004,42.725
500.0,71.39999999999995,100.362
206.0,-90.6,41.576
211.0,-93.6,42.548
24.0,-104.2,5.125
30.0,-116.19999999999997,6.337
233.0,-97.79999999999998,46.917
213.0,-81.40000000000003,42.936
26.0,-110.8,5.544
26.0,-111.4,5.502
27.0,-112.6,5.727
24.0,-106.4,5.139
25.0,-111.4,5.371
223.0,-94.99999999999997,44.88
26.0,-114.4,5.552
24.0,-109.6,5.142
100.0,-91.4,20.287
22.0,-102.4,4.748
21.0,-101.8,4.556
24.0,-107.2,5.099
27.0,-113.6,5.768
26.0,-112.0,5.485
25.0,-112.0,5.37
500.0,98.59999999999984,100.332
355.0,-60.80000000000008,71.387
110.0,-101.6,22.339
26.0,-112.0,5.479
29.0,-114.19999999999997,6.144
214.0,-90.40000000000002,43.134
27.0,-113.19999999999997,5.726
26.0,-113.19999999999997,5.55
27.0,-114.4,5.699
28.0,-114.4,5.974
23.0,-104.2,4.898
28.0,-115.6,5.947
188.0,-85.40000000000003,37.906
411.0,-67.40000000000006,82.598
121.0,-108.6,24.446
500.0,57.1999999999999,100.34
500.0,80.79999999999994,100.433
500.0,81.79999999999977,100.414
30.0,-116.8,6.366
27.0,-114.4,5.752
113.0,-102.99999999999999,22.934
27.0,-113.8,5.689
500.0,65.19999999999992,100.371
22.0,-104.2,4.766
217.0,-88.80000000000001,43.773
215.0,-86.40000000000003,43.341
221.0,-91.2,44.521
238.0,-96.6,47.921
247.0,-88.00000000000003,49.774
29.0,-114.8,6.12
27.0,-109.0,5.716
28.0,-113.19999999999997,5.919
124.0,-105.19999999999997,25.175
213.0,-83.20000000000003,42.902
244.0,-87.80000000000005,49.153
216.0,-87.20000000000002,43.533
500.0,91.79999999999994,100.33
216.0,-81.20000000000003,43.609
206.0,-77.40000000000003,41.536
30.0,-106.2,6.338
26.0,-107.8,5.484
216.0,-87.0,43.566
119.0,-97.99999999999999,24.085
27.0,-108.4,5.75
28.0,-114.8,5.945
213.0,-103.19999999999997,42.928
500.0,85.99999999999997,100.362
203.0,-71.8,40.967
255.0,-87.20000000000003,51.338
247.0,-99.2,49.737
248.0,-91.6,49.93
32.0,-115.4,6.734
29.0,-105.4,6.145
196.0,-83.0,39.535
500.0,64.1999999999999,100.342
293.0,-75.80000000000005,58.986
