steps_per_episode,reward_per_episode,t_per_episode
26.0,-107.8,5.486
24.0,-107.8,5.129
31.0,-107.4,6.564
24.0,-107.8,5.112
23.0,-105.4,4.9
25.0,-108.4,5.339
28.0,-109.0,5.957
26.0,-109.6,5.512
24.0,-109.0,5.116
27.0,-112.0,5.736
24.0,-108.4,5.166
27.0,-111.4,5.683
33.0,-103.2,6.971
26.0,-110.2,5.49
24.0,-107.2,5.152
28.0,-109.0,5.94
26.0,-110.8,5.495
24.0,-106.6,5.151
26.0,-109.0,5.521
28.0,-104.8,5.984
25.0,-107.8,5.306
25.0,-107.8,5.353
27.0,-110.2,5.681
25.0,-106.6,5.339
27.0,-110.2,5.713
24.0,-106.0,5.138
23.0,-107.2,4.959
25.0,-109.0,5.314
25.0,-110.2,5.337
27.0,-106.6,5.72
28.0,-110.8,5.965
37.0,-110.0,7.702
28.0,-109.6,5.941
27.0,-110.2,5.718
26.0,-109.6,5.494
29.0,-109.0,6.139
29.0,-104.8,6.154
24.0,-106.0,5.111
23.0,-106.0,4.951
25.0,-106.0,5.454
24.0,-106.6,5.152
29.0,-111.8,6.087
26.0,-109.6,5.536
26.0,-107.2,5.536
27.0,-110.8,5.713
23.0,-104.8,4.914
232.0,-144.4000000000001,46.752
27.0,-110.8,5.738
25.0,-109.6,5.426
28.0,-112.6,5.951
25.0,-108.4,5.333
26.0,-110.8,5.511
23.0,-106.6,4.95
24.0,-106.6,5.104
27.0,-110.8,5.73
26.0,-109.0,5.536
23.0,-104.8,4.917
24.0,-107.8,5.132
28.0,-109.2,5.917
28.0,-111.4,5.954
24.0,-108.4,5.092
24.0,-106.6,5.151
25.0,-108.4,5.362
26.0,-109.6,5.504
25.0,-108.4,5.326
208.0,-108.6,41.977
26.0,-110.2,5.514
26.0,-109.0,5.517
25.0,-110.2,5.345
23.0,-107.8,4.937
24.0,-107.2,5.098
31.0,-108.6,6.548
30.0,-104.6,6.354
24.0,-105.4,5.094
28.0,-112.6,5.93
24.0,-106.0,5.11
26.0,-109.6,5.532
24.0,-109.0,5.167
25.0,-106.0,5.332
25.0,-108.4,5.326
23.0,-105.4,4.91
24.0,-104.8,5.155
25.0,-105.4,5.324
24.0,-107.2,5.084
24.0,-107.2,5.133
25.0,-107.8,5.322
24.0,-107.8,5.148
31.0,-109.2,6.491
27.0,-112.0,5.716
23.0,-106.6,4.964
26.0,-109.0,5.548
25.0,-107.2,5.315
28.0,-110.2,5.948
28.0,-113.0,5.922
24.0,-105.4,5.114
28.0,-111.4,5.935
23.0,-106.6,4.936
26.0,-107.2,5.493
22.0,-104.2,4.69
26.0,-106.6,5.538
27.0,-109.0,5.706
29.0,-113.19999999999997,6.144
26.0,-110.2,5.539
29.0,-114.4,6.133
28.0,-108.8,5.877
28.0,-113.19999999999997,5.94
27.0,-112.6,5.757
25.0,-107.8,5.303
26.0,-110.2,5.546
24.0,-106.6,5.14
25.0,-106.6,5.32
28.0,-110.0,5.941
27.0,-110.8,5.731
26.0,-108.4,5.545
27.0,-112.6,5.699
26.0,-111.4,5.553
25.0,-105.4,5.329
134.0,-131.00000000000003,27.139
24.0,-106.6,5.149
25.0,-107.8,5.301
27.0,-109.0,5.756
214.0,-113.2,43.107
25.0,-107.8,5.372
212.0,-125.4,42.715
25.0,-108.4,5.331
25.0,-107.8,5.3
27.0,-110.6,5.758
207.0,-119.4,41.759
123.0,-119.8,24.92
210.0,-132.00000000000003,42.34
22.0,-103.6,4.751
212.0,-97.8,42.714
25.0,-107.2,5.36
29.0,-112.6,6.12
25.0,-108.4,5.326
31.0,-111.6,6.523
27.0,-105.0,5.71
218.0,-110.8,43.931
116.0,-113.0,23.493
24.0,-104.8,5.177
28.0,-107.0,5.914
25.0,-110.8,5.298
25.0,-109.0,5.366
26.0,-112.0,5.546
25.0,-110.2,5.527
24.0,-105.2,5.138
202.0,-105.4,40.72
137.0,-109.6,27.718
27.0,-110.8,5.723
26.0,-106.0,5.519
25.0,-109.6,5.32
27.0,-111.4,5.738
25.0,-106.6,5.343
29.0,-113.19999999999997,6.134
28.0,-111.4,5.907
28.0,-113.19999999999997,5.912
26.0,-112.6,5.532
24.0,-108.4,5.143
24.0,-105.4,5.11
25.0,-107.2,5.358
28.0,-111.19999999999997,5.934
25.0,-106.0,5.318
205.0,-108.4,41.29
24.0,-107.2,5.157
24.0,-109.6,5.127
28.0,-113.19999999999997,5.919
28.0,-113.19999999999997,6.18
121.0,-108.0,24.53
205.0,-105.99999999999999,41.374
201.0,-95.99999999999999,40.505
29.0,-113.8,6.178
367.0,-115.79999999999998,73.676
123.0,-109.6,24.946
25.0,-110.8,5.304
28.0,-112.0,5.93
27.0,-113.19999999999997,5.764
25.0,-108.4,5.296
24.0,-105.4,5.147
27.0,-114.4,5.736
27.0,-109.4,5.699
26.0,-111.19999999999997,5.562
207.0,-99.6,41.73
26.0,-109.0,5.555
205.0,-98.2,41.275
500.0,26.800000000000008,100.362
26.0,-106.6,5.614
28.0,-112.0,5.924
500.0,-2.3999999999999977,100.336
27.0,-104.8,5.819
500.0,31.399999999999945,100.332
225.0,-107.6,45.359
31.0,-103.8,6.537
215.0,-105.0,43.316
211.0,-103.59999999999998,42.559
34.0,-109.0,7.117
27.0,-110.8,5.713
204.0,-122.6,41.142
201.0,-90.4,40.55
118.0,-117.0,23.947
28.0,-112.6,5.879
