episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,26.0,5.486,-107.8,-4.312,-100.0,0.0
2,24.0,5.129,-107.8,-4.68695652173913,-100.0,0.0
3,31.0,6.564,-107.4,-3.58,-100.0,0.2
4,24.0,5.112,-107.8,-4.68695652173913,-100.0,0.0
5,23.0,4.9,-105.4,-4.790909090909091,-100.0,0.0
6,25.0,5.339,-108.4,-4.516666666666667,-100.0,0.0
7,28.0,5.957,-109.0,-4.037037037037037,-100.0,0.0
8,26.0,5.512,-109.6,-4.384,-100.0,0.0
9,24.0,5.116,-109.0,-4.739130434782608,-100.0,0.0
10,27.0,5.736,-112.0,-4.3076923076923075,-100.0,0.0
11,24.0,5.166,-108.4,-4.71304347826087,-100.0,0.0
12,27.0,5.683,-111.4,-4.284615384615384,-100.0,0.0
13,33.0,6.971,-103.2,-3.2250000000000005,-100.0,0.8
14,26.0,5.49,-110.2,-4.408,-100.0,0.0
15,24.0,5.152,-107.2,-4.660869565217391,-100.0,0.0
16,28.0,5.94,-109.0,-4.037037037037037,-100.0,0.0
17,26.0,5.495,-110.8,-4.432,-100.0,0.0
18,24.0,5.151,-106.6,-4.634782608695652,-100.0,0.0
19,26.0,5.521,-109.0,-4.36,-100.0,0.0
20,28.0,5.984,-104.8,-3.881481481481481,-100.0,0.8
21,25.0,5.306,-107.8,-4.491666666666665,-100.0,0.0
22,25.0,5.353,-107.8,-4.491666666666665,-100.0,0.0
23,27.0,5.681,-110.2,-4.2384615384615385,-100.0,0.0
24,25.0,5.339,-106.6,-4.4416666666666655,-100.0,0.0
25,27.0,5.713,-110.2,-4.2384615384615385,-100.0,0.0
26,24.0,5.138,-106.0,-4.608695652173913,-100.0,0.0
27,23.0,4.959,-107.2,-4.872727272727273,-100.0,0.0
28,25.0,5.314,-109.0,-4.541666666666666,-100.0,0.0
29,25.0,5.337,-110.2,-4.591666666666667,-100.0,0.0
30,27.0,5.72,-106.6,-4.1,-100.0,0.0
31,28.0,5.965,-110.8,-4.103703703703704,-100.0,0.0
32,37.0,7.702,-110.0,-3.055555555555556,-100.0,0.8
33,28.0,5.941,-109.6,-4.059259259259259,-100.0,0.0
34,27.0,5.718,-110.2,-4.2384615384615385,-100.0,0.0
35,26.0,5.494,-109.6,-4.384,-100.0,0.0
36,29.0,6.139,-109.0,-3.8928571428571432,-100.0,0.8
37,29.0,6.154,-104.8,-3.7428571428571433,-100.0,0.8
38,24.0,5.111,-106.0,-4.608695652173913,-100.0,0.0
39,23.0,4.951,-106.0,-4.8181818181818175,-100.0,0.0
40,25.0,5.454,-106.0,-4.416666666666665,-100.0,0.0
41,24.0,5.152,-106.6,-4.634782608695652,-100.0,0.0
42,29.0,6.087,-111.8,-3.9928571428571433,-100.0,0.2
43,26.0,5.536,-109.6,-4.384,-100.0,0.0
44,26.0,5.536,-107.2,-4.288,-100.0,0.0
45,27.0,5.713,-110.8,-4.261538461538461,-100.0,0.0
46,23.0,4.914,-104.8,-4.763636363636364,-100.0,0.0
47,232.0,46.752,-144.4000000000001,-0.6251082251082252,-100.0,0.8
48,27.0,5.738,-110.8,-4.261538461538461,-100.0,0.0
49,25.0,5.426,-109.6,-4.5666666666666655,-100.0,0.0
50,28.0,5.951,-112.6,-4.170370370370369,-100.0,0.0
51,25.0,5.333,-108.4,-4.516666666666667,-100.0,0.0
52,26.0,5.511,-110.8,-4.432,-100.0,0.0
53,23.0,4.95,-106.6,-4.845454545454545,-100.0,0.0
54,24.0,5.104,-106.6,-4.634782608695652,-100.0,0.0
55,27.0,5.73,-110.8,-4.261538461538461,-100.0,0.0
56,26.0,5.536,-109.0,-4.36,-100.0,0.0
57,23.0,4.917,-104.8,-4.763636363636364,-100.0,0.0
58,24.0,5.132,-107.8,-4.68695652173913,-100.0,0.0
59,28.0,5.917,-109.2,-4.044444444444444,-100.0,0.8
60,28.0,5.954,-111.4,-4.125925925925926,-100.0,0.0
61,24.0,5.092,-108.4,-4.71304347826087,-100.0,0.0
62,24.0,5.151,-106.6,-4.634782608695652,-100.0,0.0
63,25.0,5.362,-108.4,-4.516666666666667,-100.0,0.0
64,26.0,5.504,-109.6,-4.384,-100.0,0.0
