steps_per_episode,reward_per_episode,t_per_episode
22.0,-103.0,4.719
24.0,-104.2,5.148
24.0,-107.2,5.091
24.0,-103.6,5.144
23.0,-104.8,4.92
25.0,-109.0,5.349
25.0,-107.8,5.327
24.0,-107.2,5.121
25.0,-104.2,5.343
25.0,-104.0,5.365
22.0,-103.6,4.71
23.0,-104.2,4.936
23.0,-103.6,4.892
26.0,-104.6,5.584
25.0,-109.6,5.292
26.0,-111.4,5.566
26.0,-110.8,5.533
25.0,-109.0,5.343
25.0,-107.6,5.327
26.0,-112.6,5.494
25.0,-110.2,5.329
29.0,-113.19999999999997,6.135
27.0,-112.6,5.743
27.0,-113.19999999999997,5.736
264.0,-80.40000000000003,53.156
23.0,-101.6,4.908
27.0,-115.0,5.754
27.0,-113.19999999999997,5.721
26.0,-112.0,5.542
26.0,-111.4,5.502
22.0,-102.4,4.745
26.0,-110.2,5.522
25.0,-109.0,5.338
28.0,-115.0,5.933
26.0,-112.0,5.519
23.0,-105.4,4.885
23.0,-103.6,4.922
21.0,-100.6,4.557
25.0,-107.2,5.32
29.0,-114.19999999999997,6.131
22.0,-101.2,4.702
27.0,-107.6,5.754
193.0,-79.4,38.899
21.0,-101.8,4.538
193.0,-79.2,38.941
21.0,-100.6,4.518
500.0,112.6,100.329
299.0,-52.20000000000002,60.228
26.0,-111.4,5.507
25.0,-112.0,5.353
25.0,-110.2,5.351
26.0,-112.6,5.534
219.0,-93.99999999999999,44.109
26.0,-110.6,5.546
25.0,-107.8,5.333
26.0,-110.2,5.537
209.0,-80.60000000000002,42.133
28.0,-115.0,5.941
25.0,-110.2,5.294
212.0,-72.80000000000001,42.713
25.0,-112.0,5.365
23.0,-103.6,4.897
500.0,88.39999999999988,100.327
500.0,79.19999999999986,100.434
211.0,-69.40000000000002,42.602
200.0,-80.00000000000001,40.301
209.0,-70.60000000000002,42.188
215.0,-70.20000000000002,43.311
184.0,-77.2,37.122
197.0,-91.6,39.742
201.0,-68.4,40.507
209.0,-90.2,42.155
202.0,-77.60000000000005,40.751
207.0,-80.80000000000007,41.72
405.0,-23.599999999999962,81.372
232.0,-55.200000000000045,46.706
500.0,115.1999999999998,100.344
500.0,115.99999999999991,100.402
500.0,111.99999999999989,100.405
500.0,78.79999999999994,100.398
500.0,120.19999999999986,100.388
195.0,-71.20000000000003,39.417
500.0,111.59999999999992,100.332
500.0,134.99999999999983,100.403
500.0,125.79999999999976,100.391
500.0,110.5999999999998,100.4
500.0,113.1999999999999,100.429
500.0,129.79999999999987,100.409
314.0,-45.400000000000034,63.201
500.0,116.99999999999989,100.37
311.0,-35.20000000000002,62.638
500.0,114.19999999999987,100.29
300.0,-48.80000000000009,60.385
22.0,-100.6,4.771
500.0,123.79999999999984,100.289
23.0,-102.4,4.986
20.0,-100.6,4.373
500.0,110.79999999999993,100.305
426.0,-29.199999999999942,85.658
25.0,-107.8,5.311
500.0,112.99999999999984,100.334
500.0,123.79999999999976,100.396
500.0,106.99999999999979,100.451
500.0,128.5999999999998,100.357
388.0,-23.0,78.0
192.0,-65.6,38.763
500.0,114.99999999999996,100.342
24.0,-107.2,5.226
500.0,120.19999999999987,100.318
500.0,134.79999999999998,100.414
500.0,68.39999999999999,100.358
500.0,86.59999999999985,100.398
500.0,119.59999999999987,100.474
500.0,97.99999999999974,100.397
500.0,78.79999999999983,100.371
500.0,133.19999999999996,100.424
500.0,124.99999999999989,100.421
500.0,113.99999999999996,100.382
500.0,105.3999999999999,100.419
500.0,122.79999999999995,100.408
500.0,132.39999999999992,100.361
500.0,128.59999999999985,100.428
500.0,126.79999999999983,100.398
500.0,122.19999999999986,100.444
28.0,-103.0,5.991
24.0,-103.0,5.089
500.0,122.99999999999984,100.377
500.0,83.99999999999984,100.381
500.0,78.4,100.446
500.0,80.59999999999992,100.409
489.0,-3.000000000000042,98.308
500.0,105.79999999999988,100.359
500.0,108.3999999999999,100.389
500.0,107.99999999999989,100.445
500.0,115.19999999999996,100.393
34.0,-110.6,7.243
30.0,-114.4,6.298
26.0,-105.4,5.561
500.0,80.99999999999984,100.327
500.0,87.59999999999987,100.38
438.0,-22.20000000000012,88.036
22.0,-103.6,4.734
451.0,-16.60000000000005,90.52
21.0,-100.6,4.53
23.0,-103.4,4.937
22.0,-104.8,4.689
23.0,-107.2,4.944
26.0,-112.0,5.559
193.0,-70.0,38.928
25.0,-106.6,5.368
23.0,-104.8,4.902
22.0,-103.0,4.745
22.0,-102.4,4.733
107.0,-93.79999999999998,21.74
193.0,-65.00000000000003,38.951
194.0,-63.79999999999999,39.112
201.0,-60.99999999999999,40.536
