episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,22.0,4.719,-103.0,-4.904761904761905,-100.0,0.0
2,24.0,5.148,-104.2,-4.530434782608696,-100.0,0.0
3,24.0,5.091,-107.2,-4.660869565217391,-100.0,0.0
4,24.0,5.144,-103.6,-4.504347826086956,-100.0,0.0
5,23.0,4.92,-104.8,-4.763636363636364,-100.0,0.0
6,25.0,5.349,-109.0,-4.541666666666666,-100.0,0.0
7,25.0,5.327,-107.8,-4.491666666666665,-100.0,0.0
8,24.0,5.121,-107.2,-4.660869565217391,-100.0,0.0
9,25.0,5.343,-104.2,-4.341666666666667,-100.0,0.0
10,25.0,5.365,-104.0,-4.333333333333333,-100.0,0.8
11,22.0,4.71,-103.6,-4.933333333333333,-100.0,0.0
12,23.0,4.936,-104.2,-4.736363636363636,-100.0,0.0
13,23.0,4.892,-103.6,-4.709090909090909,-100.0,0.0
14,26.0,5.584,-104.6,-4.184,-100.0,0.8
15,25.0,5.292,-109.6,-4.5666666666666655,-100.0,0.0
16,26.0,5.566,-111.4,-4.456,-100.0,0.0
17,26.0,5.533,-110.8,-4.432,-100.0,0.0
18,25.0,5.343,-109.0,-4.541666666666665,-100.0,0.0
19,25.0,5.327,-107.6,-4.4833333333333325,-100.0,0.8
20,26.0,5.494,-112.6,-4.504,-100.0,0.0
21,25.0,5.329,-110.2,-4.591666666666667,-100.0,0.0
22,29.0,6.135,-113.19999999999997,-4.042857142857144,-100.0,0.0
23,27.0,5.743,-112.6,-4.3307692307692305,-100.0,0.0
24,27.0,5.736,-113.19999999999997,-4.3538461538461535,-100.0,0.0
25,264.0,53.156,-80.40000000000003,-0.3057034220532319,-100.0,0.8
26,23.0,4.908,-101.6,-4.618181818181817,-100.0,0.8
27,27.0,5.754,-115.0,-4.423076923076923,-100.0,-0.6000000000000001
28,27.0,5.721,-113.19999999999997,-4.3538461538461535,-100.0,0.0
29,26.0,5.542,-112.0,-4.48,-100.0,0.0
30,26.0,5.502,-111.4,-4.456,-100.0,0.0
31,22.0,4.745,-102.4,-4.876190476190477,-100.0,0.0
32,26.0,5.522,-110.2,-4.408,-100.0,0.0
33,25.0,5.338,-109.0,-4.541666666666666,-100.0,0.0
34,28.0,5.933,-115.0,-4.25925925925926,-100.0,0.0
35,26.0,5.519,-112.0,-4.48,-100.0,0.0
36,23.0,4.885,-105.4,-4.790909090909091,-100.0,0.0
37,23.0,4.922,-103.6,-4.709090909090909,-100.0,0.0
38,21.0,4.557,-100.6,-5.029999999999999,-100.0,0.0
39,25.0,5.32,-107.2,-4.466666666666667,-100.0,0.0
40,29.0,6.131,-114.19999999999997,-4.078571428571428,-100.0,0.2
41,22.0,4.702,-101.2,-4.819047619047619,-100.0,0.0
42,27.0,5.754,-107.6,-4.138461538461538,-100.0,0.8
43,193.0,38.899,-79.4,-0.41354166666666664,-100.0,0.8
44,21.0,4.538,-101.8,-5.09,-100.0,0.0
45,193.0,38.941,-79.2,-0.4125,-100.0,0.8
46,21.0,4.518,-100.6,-5.029999999999999,-100.0,0.0
47,500.0,100.329,112.6,0.2256513026052104,-0.6000000000000001,0.8
48,299.0,60.228,-52.20000000000002,-0.17516778523489931,-100.0,0.8
49,26.0,5.507,-111.4,-4.456,-100.0,0.0
50,25.0,5.353,-112.0,-4.666666666666666,-100.0,0.0
51,25.0,5.351,-110.2,-4.591666666666668,-100.0,0.0
52,26.0,5.534,-112.6,-4.504,-100.0,0.0
53,219.0,44.109,-93.99999999999999,-0.43119266055045874,-100.0,0.8
54,26.0,5.546,-110.6,-4.424,-100.0,0.8
55,25.0,5.333,-107.8,-4.491666666666667,-100.0,0.0
56,26.0,5.537,-110.2,-4.408,-100.0,0.0
57,209.0,42.133,-80.60000000000002,-0.38750000000000007,-100.0,0.8
58,28.0,5.941,-115.0,-4.25925925925926,-100.0,0.0
59,25.0,5.294,-110.2,-4.591666666666668,-100.0,0.0
60,212.0,42.713,-72.80000000000001,-0.34502369668246446,-100.0,0.8
61,25.0,5.365,-112.0,-4.666666666666666,-100.0,0.0
62,23.0,4.897,-103.6,-4.709090909090909,-100.0,0.0
63,500.0,100.327,88.39999999999988,0.17715430861723447,-0.6000000000000001,0.8
64,500.0,100.434,79.19999999999986,0.15871743486973947,-0.6000000000000001,0.8
65,211.0,42.602,-69.40000000000002,-0.3304761904761905,-100.0,0.8
66,200.0,40.301,-80.00000000000001,-0.4020100502512563,-100.0,0.8
67,209.0,42.188,-70.60000000000002,-0.3394230769230769,-100.0,0.8
68,215.0,43.311,-70.20000000000002,-0.3280373831775701,-100.0,0.8
69,184.0,37.122,-77.2,-0.42185792349726775,-100.0,0.8
70,197.0,39.742,-91.6,-0.4673469387755103,-100.0,0.8
71,201.0,40.507,-68.4,-0.342,-100.0,0.8
72,209.0,42.155,-90.2,-0.4336538461538462,-100.0,0.8
73,202.0,40.751,-77.60000000000005,-0.38606965174129354,-100.0,0.8
74,207.0,41.72,-80.80000000000007,-0.39223300970873787,-100.0,0.8
75,405.0,81.372,-23.599999999999962,-0.05841584158415842,-100.0,0.8
