episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,86.0,18.696,-100.19999999999997,-1.1788235294117648,-100.0,0.8
2,27.0,5.744,-104.2,-4.007692307692308,-100.0,0.0
3,91.0,18.533,-104.6,-1.1622222222222223,-100.0,0.8
4,23.0,5.144,-107.8,-4.9,-100.0,0.0
5,362.0,72.982,-73.60000000000005,-0.2038781163434903,-100.0,0.8
6,251.0,50.717,-81.60000000000002,-0.3264,-100.0,0.8
7,226.0,45.555,-85.2,-0.3786666666666667,-100.0,0.8
8,75.0,15.713,-100.0,-1.351351351351351,-100.0,0.8
9,81.0,16.538,-102.8,-1.285,-100.0,0.8
10,150.0,30.294,-99.6,-0.6684563758389264,-100.0,0.8
11,295.0,59.738,-64.60000000000002,-0.21972789115646257,-100.0,0.8
12,150.0,30.319,-103.8,-0.6966442953020134,-100.0,0.8
13,44.0,9.165,-103.0,-2.395348837209302,-100.0,0.8
14,500.0,100.967,62.59999999999987,0.1254509018036072,-0.6000000000000001,0.8
15,26.0,5.781,-107.0,-4.28,-100.0,0.8
16,40.0,8.702,-109.6,-2.81025641025641,-100.0,0.0
17,38.0,8.175,-104.6,-2.827027027027027,-100.0,0.8
18,92.0,18.711,-101.6,-1.1164835164835163,-100.0,0.8
19,35.0,7.341,-104.2,-3.0647058823529414,-100.0,0.0
20,18.0,3.931,-108.4,-6.3764705882352954,-100.0,0.0
21,96.0,19.497,-105.6,-1.111578947368421,-100.0,0.8
22,65.0,13.365,-101.6,-1.5875,-100.0,0.8
23,31.0,6.915,-105.8,-3.5266666666666664,-100.0,0.8
24,43.0,8.923999999999998,-105.8,-2.519047619047619,-100.0,0.8
25,68.0,14.937,-99.4,-1.4835820895522387,-100.0,0.8
26,141.0,28.516,-93.6,-0.6685714285714285,-100.0,0.8
27,129.0,26.31,-94.4,-0.7374999999999998,-100.0,0.8
28,16.0,3.518,-107.2,-7.1466666666666665,-100.0,0.0
29,44.0,9.148,-105.0,-2.441860465116279,-100.0,0.8
30,500.0,100.522,57.19999999999989,0.11462925851703408,-0.6000000000000001,0.8
31,41.0,9.415,-109.4,-2.735,-100.0,0.8
32,83.0,17.117,-97.4,-1.1878048780487807,-100.0,0.8
33,154.0,31.362,-79.4,-0.5189542483660131,-100.0,0.8
34,88.0,17.875,-93.2,-1.071264367816092,-100.0,0.8
35,173.0,34.955,-73.80000000000001,-0.4290697674418604,-100.0,0.8
36,185.0,37.556,-86.0,-0.46739130434782605,-100.0,0.8
37,102.0,20.689,-102.6,-1.0158415841584159,-100.0,0.8
38,70.0,15.157,-107.0,-1.5507246376811594,-100.0,0.8
39,500.0,100.5,67.79999999999986,0.13587174348697395,-0.6000000000000001,0.8
40,71.0,14.783,-112.8,-1.6114285714285714,-100.0,0.8
41,248.0,50.173,-85.20000000000003,-0.34493927125506074,-100.0,0.8
42,90.0,19.148,-104.8,-1.1775280898876404,-100.0,0.8
