episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,26.0,5.718,-108.4,-4.336,-100.0,0.0
2,218.0,43.959,-108.19999999999997,-0.49861751152073736,-100.0,0.8
3,140.0,28.317,-113.8,-0.818705035971223,-100.0,0.8
4,101.0,20.559,-108.2,-1.082,-100.0,0.8
5,125.0,25.348,-97.99999999999999,-0.7903225806451613,-100.0,0.8
6,237.0,47.875,-89.20000000000003,-0.3779661016949153,-100.0,0.8
7,20.0,4.287,-102.4,-5.389473684210526,-100.0,0.0
8,36.0,8.013999999999998,-107.2,-3.0628571428571427,-100.0,0.8
9,13.0,3.131,-104.2,-8.683333333333334,-100.0,0.0
10,418.0,84.513,-65.80000000000004,-0.15779376498800962,-100.0,0.8
11,21.0,4.563,-101.0,-5.05,-100.0,0.8
12,28.0,5.938,-109.4,-4.051851851851852,-100.0,0.2
13,19.0,4.339,-105.8,-5.877777777777776,-100.0,0.2
14,106.0,21.51,-93.2,-0.8876190476190476,-100.0,0.8
15,64.0,13.162,-104.4,-1.6571428571428573,-100.0,0.8
16,195.0,39.375,-105.4,-0.5432989690721649,-100.0,0.8
17,288.0,57.943,-85.6,-0.29825783972125436,-100.0,0.8
18,265.0,53.732,-68.4,-0.2590909090909091,-100.0,0.8
19,72.0,15.136,-99.0,-1.3943661971830985,-100.0,0.8
20,22.0,4.966,-101.4,-4.828571428571429,-100.0,0.8
21,15.0,3.283,-99.2,-7.085714285714286,-100.0,0.8
22,100.0,20.35,-105.4,-1.0646464646464646,-100.0,0.8
23,53.0,10.954,-108.8,-2.0923076923076924,-100.0,0.8
24,393.0,78.96299999999998,-45.79999999999997,-0.11683673469387756,-100.0,0.8
25,39.0,8.165,-110.2,-2.9,-100.0,0.8
26,43.0,9.092,-104.4,-2.4857142857142858,-100.0,0.8
27,28.0,6.117,-97.2,-3.6,-100.0,0.8
28,203.0,41.59,-78.80000000000001,-0.39009900990099017,-100.0,0.8
29,290.0,58.334,-84.60000000000002,-0.2927335640138408,-100.0,0.8
30,172.0,34.755,-83.80000000000001,-0.4900584795321637,-100.0,0.8
31,40.0,8.336,-115.6,-2.964102564102564,-100.0,0.0
32,87.0,17.718,-92.2,-1.072093023255814,-100.0,0.8
33,91.0,18.518,-110.2,-1.2244444444444444,-100.0,0.8
34,82.0,17.576999999999998,-99.0,-1.2222222222222223,-100.0,0.8
35,28.0,5.936,-112.0,-4.148148148148148,-100.0,0.2
36,255.0,51.345,-81.80000000000005,-0.3220472440944882,-100.0,0.8
37,17.0,3.765,-101.2,-6.324999999999999,-100.0,0.0
38,51.0,10.51,-104.0,-2.08,-100.0,0.8
39,172.0,35.501,-79.20000000000002,-0.4631578947368421,-100.0,0.8
40,49.0,10.185,-106.0,-2.208333333333333,-100.0,0.8
41,13.0,3.14,-101.8,-8.48333333333333,-100.0,0.0
42,120.0,24.573,-102.19999999999997,-0.8588235294117647,-100.0,0.8
43,381.0,76.54699999999998,-43.60000000000005,-0.11473684210526316,-100.0,0.8
44,20.0,4.309,-101.6,-5.347368421052631,-100.0,0.2
45,26.0,5.531,-95.4,-3.816,-100.0,0.8
46,156.0,31.554,-113.19999999999997,-0.7303225806451613,-100.0,0.8
47,207.0,41.955,-87.2,-0.4233009708737864,-100.0,0.8
48,19.0,4.106,-104.6,-5.811111111111111,-100.0,0.8
49,500.0,100.57,69.39999999999996,0.13907815631262527,-0.6000000000000001,0.8
50,22.0,4.987,-102.6,-4.885714285714285,-100.0,0.2
51,55.0,12.346,-117.4,-2.174074074074074,-100.0,0.0
52,18.0,4.961,-104.2,-6.129411764705883,-100.0,0.2
53,170.0,34.304,-89.2,-0.527810650887574,-100.0,0.8
54,49.0,10.327,-103.2,-2.1500000000000004,-100.0,0.8
55,81.0,16.99,-95.8,-1.1975,-100.0,0.8
56,68.0,13.945,-99.8,-1.48955223880597,-100.0,0.8
57,33.0,6.914,-105.4,-3.29375,-100.0,0.0
58,172.0,34.778,-95.2,-0.5567251461988304,-100.0,0.8
59,96.0,19.584,-102.0,-1.0736842105263156,-100.0,0.8
60,46.0,9.524000000000001,-101.6,-2.2577777777777777,-100.0,0.8
61,24.0,5.131,-100.6,-4.373913043478261,-100.0,0.0
62,42.0,9.161,-115.4,-2.814634146341464,-100.0,0.8
63,19.0,4.308,-100.6,-5.588888888888889,-100.0,0.0
64,30.0,6.928,-109.6,-3.7793103448275858,-100.0,0.2
65,175.0,35.536,-108.19999999999997,-0.6218390804597701,-100.0,0.8
66,39.0,8.403,-106.2,-2.794736842105263,-100.0,0.8
