episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,155.0,31.583,-95.8,-0.622077922077922,-100.0,0.8
2,39.0,8.112,-105.8,-2.784210526315789,-100.0,0.8
3,78.0,15.895,-106.4,-1.3818181818181818,-100.0,0.8
4,57.0,12.589,-97.8,-1.7464285714285717,-100.0,0.8
5,84.0,17.3,-100.0,-1.2048192771084338,-100.0,0.8
6,16.0,4.347,-102.4,-6.826666666666667,-100.0,0.0
7,137.0,27.937,-91.79999999999998,-0.6749999999999999,-100.0,0.8
8,65.0,13.388,-104.2,-1.6281250000000003,-100.0,0.8
9,28.0,6.158,-104.8,-3.881481481481481,-100.0,0.0
10,14.0,3.723,-103.6,-7.969230769230768,-100.0,0.0
11,20.0,4.312,-109.6,-5.768421052631577,-100.0,0.0
12,51.0,10.753,-100.2,-2.004,-100.0,0.8
13,13.0,3.299,-103.6,-8.633333333333331,-100.0,0.0
14,117.0,23.959,-105.0,-0.9051724137931033,-100.0,0.8
15,19.0,4.122,-109.6,-6.088888888888889,-100.0,0.0
16,38.0,7.963,-98.2,-2.654054054054054,-100.0,0.8
17,42.0,8.724,-100.0,-2.4390243902439024,-100.0,0.8
18,65.0,13.711,-100.8,-1.575,-100.0,0.8
19,192.0,38.755,-96.2,-0.5036649214659686,-100.0,0.8
20,88.0,17.898,-90.79999999999998,-1.0436781609195402,-100.0,0.8
21,27.0,7.335,-100.4,-3.8615384615384616,-100.0,0.8
22,17.0,4.138,-103.0,-6.437499999999999,-100.0,0.0
23,251.0,50.508,-104.4,-0.4176,-100.0,0.8
24,160.0,32.576,-69.19999999999999,-0.4352201257861637,-100.0,0.8
25,265.0,53.348,-96.0,-0.3636363636363637,-100.0,0.8
26,95.0,19.703,-90.99999999999999,-0.9680851063829788,-100.0,0.8
27,208.0,42.172,-79.40000000000003,-0.383574879227053,-100.0,0.8
28,500.0,100.577,53.79999999999988,0.10781563126252504,-0.6000000000000001,0.8
29,134.0,27.174,-95.8,-0.7203007518796992,-100.0,0.8
30,137.0,28.571,-100.8,-0.7411764705882353,-100.0,0.8
31,160.0,32.501,-89.6,-0.5635220125786163,-100.0,0.8
32,18.0,4.138,-99.0,-5.823529411764706,-100.0,0.8
33,286.0,57.732,-70.60000000000011,-0.247719298245614,-100.0,0.8
34,17.0,4.12,-106.0,-6.624999999999999,-100.0,0.0
35,396.0,79.555,-79.00000000000004,-0.2,-100.0,0.8
36,101.0,20.511,-98.6,-0.9860000000000002,-100.0,0.8
37,369.0,74.214,-44.60000000000009,-0.12119565217391304,-100.0,0.8
38,28.0,5.914,-103.0,-3.8148148148148153,-100.0,0.2
39,500.0,100.418,92.59999999999982,0.18557114228456917,-0.6000000000000001,0.8
40,67.0,13.753,-101.0,-1.5303030303030303,-100.0,0.8
41,25.0,5.344,-107.8,-4.491666666666665,-100.0,0.0
42,395.0,79.324,-80.40000000000003,-0.2040609137055837,-100.0,0.8
43,161.0,32.535,-81.00000000000001,-0.50625,-100.0,0.8
44,182.0,36.735,-99.6,-0.5502762430939225,-100.0,0.8
45,31.0,6.545,-115.0,-3.8333333333333326,-100.0,0.2
46,183.0,37.131,-100.4,-0.5516483516483517,-100.0,0.8
47,154.0,31.104,-80.40000000000003,-0.5254901960784314,-100.0,0.8
48,19.0,4.099,-106.2,-5.9,-100.0,0.2
49,486.0,97.555,-35.599999999999895,-0.07340206185567011,-100.0,0.8
50,14.0,3.343,-101.8,-7.8307692307692305,-100.0,0.0
51,237.0,47.788,-87.20000000000003,-0.3694915254237288,-100.0,0.8
52,186.0,37.562,-63.40000000000003,-0.34270270270270264,-100.0,0.8
