episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,66.0,13.718,-100.4,-1.5446153846153847,-100.0,0.8
2,23.0,6.141,-101.8,-4.627272727272727,-100.0,0.0
3,115.0,23.74,-104.8,-0.9192982456140351,-100.0,0.8
4,13.0,3.117,-102.4,-8.533333333333333,-100.0,0.0
5,40.0,9.126,-102.4,-2.6256410256410256,-100.0,0.2
6,21.0,4.487,-101.2,-5.06,-100.0,0.0
7,90.0,18.367,-101.2,-1.1370786516853932,-100.0,0.8
8,79.0,16.102,-89.4,-1.1461538461538463,-100.0,0.8
9,211.0,42.571,-91.8,-0.4371428571428571,-100.0,0.8
10,35.0,7.519,-105.8,-3.111764705882353,-100.0,0.8
11,71.0,14.515,-110.2,-1.5742857142857143,-100.0,0.8
12,500.0,101.337,68.99999999999997,0.13827655310621242,-0.6000000000000001,0.8
13,177.0,36.016,-101.4,-0.5761363636363637,-100.0,0.8
14,207.0,41.729,-88.79999999999998,-0.4310679611650486,-100.0,0.8
15,81.0,17.088,-102.4,-1.2799999999999998,-100.0,0.8
16,500.0,100.966,80.19999999999993,0.16072144288577156,-0.6000000000000001,0.8
17,53.0,10.98,-100.6,-1.9346153846153844,-100.0,0.8
18,500.0,100.345,108.39999999999988,0.21723446893787576,-0.6000000000000001,0.8
19,194.0,39.361,-75.80000000000001,-0.39274611398963727,-100.0,0.8
20,266.0,53.528,-66.80000000000001,-0.2520754716981132,-100.0,0.8
21,43.0,8.981,-103.6,-2.4666666666666663,-100.0,0.8
22,91.0,18.692,-107.6,-1.1955555555555557,-100.0,0.8
23,487.0,97.938,-12.999999999999956,-0.026748971193415648,-100.0,0.8
24,219.0,44.111,-81.80000000000001,-0.37522935779816513,-100.0,0.8
25,24.0,5.355,-103.0,-4.478260869565218,-100.0,0.8
26,29.0,6.12,-101.6,-3.628571428571429,-100.0,0.8
27,22.0,4.742,-103.0,-4.904761904761905,-100.0,0.0
28,98.0,19.928,-93.4,-0.9628865979381444,-100.0,0.8
29,265.0,53.364,-62.80000000000003,-0.2378787878787878,-100.0,0.8
30,27.0,5.906,-111.4,-4.284615384615384,-100.0,0.0
31,53.0,11.108,-101.2,-1.946153846153846,-100.0,0.8
32,318.0,64.364,-54.200000000000045,-0.1709779179810725,-100.0,0.8
33,44.0,9.109000000000002,-116.0,-2.697674418604651,-100.0,0.8
34,51.0,10.51,-108.0,-2.16,-100.0,0.2
35,484.0,97.177,0.5999999999998948,0.0012422360248447088,-100.0,0.8
36,138.0,28.118,-78.2,-0.570802919708029,-100.0,0.8
37,45.0,9.531,-105.8,-2.4045454545454543,-100.0,0.2
38,169.0,34.106,-84.80000000000001,-0.5047619047619049,-100.0,0.8
39,18.0,3.933,-109.6,-6.447058823529411,-100.0,-0.6000000000000001
40,183.0,37.342,-94.4,-0.5186813186813187,-100.0,0.8
41,165.0,33.529,-92.6,-0.5646341463414635,-100.0,0.8
42,186.0,37.906,-60.400000000000006,-0.3264864864864865,-100.0,0.8
43,20.0,4.325,-109.0,-5.7368421052631575,-100.0,0.0
44,75.0,15.386,-96.2,-1.3,-100.0,0.8
45,22.0,4.667,-103.6,-4.933333333333333,-100.0,0.0
46,440.0,88.348,-16.40000000000002,-0.037357630979498874,-100.0,0.8
47,16.0,3.947,-100.6,-6.706666666666665,-100.0,0.0
48,43.0,8.929,-106.0,-2.523809523809524,-100.0,0.8
49,77.0,16.138,-121.0,-1.5921052631578947,-100.0,0.8
50,24.0,5.3,-101.2,-4.4,-100.0,0.0
51,98.0,19.967,-119.00000000000001,-1.2268041237113403,-100.0,0.8
52,47.0,9.739,-101.4,-2.2043478260869565,-100.0,0.8
53,500.0,100.315,79.60000000000005,0.15951903807615228,-0.6000000000000001,0.8
54,284.0,57.238,-68.00000000000009,-0.24028268551236748,-100.0,0.8
55,57.0,11.914,-109.8,-1.9607142857142856,-100.0,0.8
56,423.0,84.929,-29.600000000000065,-0.07014218009478673,-100.0,0.8
57,120.0,24.728,-102.2,-0.8588235294117647,-100.0,0.8
58,500.0,100.356,102.1999999999998,0.20480961923847693,-0.6000000000000001,0.8
59,500.0,101.194,90.59999999999992,0.181563126252505,-0.6000000000000001,0.8
60,500.0,100.413,84.2000000000001,0.1687374749498998,-0.6000000000000001,0.8
61,26.0,5.6,-99.8,-3.992,-100.0,0.8
62,263.0,53.329,-83.40000000000003,-0.31832061068702294,-100.0,0.8
63,380.0,76.342,-59.60000000000008,-0.15725593667546175,-100.0,0.8
64,295.0,59.368,-48.00000000000016,-0.163265306122449,-100.0,0.8
