type,agent_init,scenario,alpha,gamma,t_init,t_grad,t_min,epsilon_init,epsilon_grad,epsilon_min,avg_steps,avg_reward,avg_last_10_reward,avg_episode_time
epsilongreedy,random,Scenario_1_Moderate,0.5,0.9,25,0.95,0.05,0.5,0.97,0.05,249.745,-38.710000000000036,71.5999999999999,50.50647
epsilongreedy,random,Scenario_2_Fast_Learning_High_Exploration,0.7,0.8,35,0.93,0.05,0.8,0.95,0.1,138.44,-86.92200000000001,-86.70000000000002,28.187119999999997
epsilongreedy,random,Scenario_3_Fast_Learning_Low_Exploration,0.7,0.85,15,0.96,0.03,0.4,0.98,0.08,208.225,-58.88500000000002,4.299999999999973,42.202355000000004
epsilongreedy,random,Scenario_4_Slow_Learning_High_Exploration,0.3,0.95,30,0.99,0.05,0.9,0.995,0.2,117.455,-103.58300000000001,-89.42000000000003,24.007605
epsilongreedy,random,Scenario_5_Slow_Learning_Low_Exploration,0.2,0.7,10,0.92,0.01,0.4,0.98,0.05,243.6,-32.83000000000003,-33.720000000000034,49.237314999999995
epsilongreedy,constant,Scenario_1_Moderate,0.5,0.9,25,0.95,0.05,0.5,0.97,0.05,163.29,-79.60100000000001,-31.58000000000005,33.01464
epsilongreedy,constant,Scenario_2_Fast_Learning_High_Exploration,0.7,0.8,35,0.93,0.05,0.8,0.95,0.1,153.64,-80.31900000000002,-83.42000000000004,31.08404
epsilongreedy,constant,Scenario_3_Fast_Learning_Low_Exploration,0.7,0.85,15,0.96,0.03,0.4,0.98,0.08,122.595,-88.32600000000001,-101.08,24.85696
epsilongreedy,constant,Scenario_4_Slow_Learning_High_Exploration,0.3,0.95,30,0.99,0.05,0.9,0.995,0.2,55.845,-107.25099999999999,-108.23999999999998,11.502715
epsilongreedy,constant,Scenario_5_Slow_Learning_Low_Exploration,0.2,0.7,10,0.92,0.01,0.4,0.98,0.05,256.81,-16.615000000000045,22.19999999999996,51.726904999999995
softmax,random,Scenario_1_Moderate,0.5,0.9,25,0.95,0.05,0.5,0.97,0.05,260.55,-54.287000000000035,-9.500000000000034,52.646550000000005
softmax,random,Scenario_2_Fast_Learning_High_Exploration,0.7,0.8,35,0.93,0.05,0.8,0.95,0.1,169.57,-87.587,-102.32,34.47233
softmax,random,Scenario_3_Fast_Learning_Low_Exploration,0.7,0.85,15,0.96,0.03,0.4,0.98,0.08,169.135,-97.21500000000002,-76.22000000000008,34.354260000000004
softmax,random,Scenario_4_Slow_Learning_High_Exploration,0.3,0.95,30,0.99,0.05,0.9,0.995,0.2,112.475,-114.242,-115.3,23.00644
softmax,random,Scenario_5_Slow_Learning_Low_Exploration,0.2,0.7,10,0.92,0.01,0.4,0.98,0.05,169.905,-70.043,-60.22000000000005,34.51347
softmax,constant,Scenario_1_Moderate,0.5,0.9,25,0.95,0.05,0.5,0.97,0.05,378.155,37.79699999999994,138.49999999999994,76.02516
softmax,constant,Scenario_2_Fast_Learning_High_Exploration,0.7,0.8,35,0.93,0.05,0.8,0.95,0.1,359.625,22.09299999999993,96.83999999999988,72.318775
softmax,constant,Scenario_3_Fast_Learning_Low_Exploration,0.7,0.85,15,0.96,0.03,0.4,0.98,0.08,175.815,-75.26500000000001,-14.440000000000051,35.514354999999995
softmax,constant,Scenario_4_Slow_Learning_High_Exploration,0.3,0.95,30,0.99,0.05,0.9,0.995,0.2,95.61,-108.29700000000001,-97.52000000000005,19.45932
softmax,constant,Scenario_5_Slow_Learning_Low_Exploration,0.2,0.7,10,0.92,0.01,0.4,0.98,0.05,211.195,-31.141000000000048,75.93999999999984,42.59941
