episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,29.0,6.433,-111.0,-3.9642857142857135,-100.0,0.8
2,26.0,5.568,-110.2,-4.408,-100.0,0.0
3,25.0,5.378,-108.4,-4.516666666666667,-100.0,0.0
4,23.0,4.977,-104.2,-4.736363636363636,-100.0,0.0
5,30.0,6.372,-107.2,-3.6965517241379313,-100.0,0.8
6,25.0,5.383,-110.2,-4.591666666666668,-100.0,0.0
7,23.0,4.97,-104.2,-4.736363636363636,-100.0,0.0
8,25.0,5.376,-109.0,-4.541666666666665,-100.0,0.0
9,26.0,5.621,-111.4,-4.456,-100.0,0.0
10,24.0,5.141,-106.6,-4.634782608695652,-100.0,0.0
11,23.0,4.898,-106.0,-4.8181818181818175,-100.0,0.0
12,24.0,5.153,-107.2,-4.660869565217391,-100.0,0.0
13,25.0,5.344,-107.8,-4.491666666666665,-100.0,0.0
14,24.0,5.107,-104.2,-4.530434782608696,-100.0,0.0
15,26.0,5.516,-111.4,-4.456,-100.0,0.0
16,24.0,5.136,-107.2,-4.660869565217391,-100.0,0.0
17,24.0,5.119,-106.6,-4.634782608695652,-100.0,0.0
18,24.0,5.147,-108.4,-4.71304347826087,-100.0,0.0
19,25.0,5.352,-110.0,-4.583333333333333,-100.0,0.2
20,25.0,5.365,-109.0,-4.541666666666666,-100.0,0.0
21,27.0,5.709,-112.6,-4.3307692307692305,-100.0,0.0
22,24.0,5.135,-105.4,-4.582608695652175,-100.0,0.0
23,28.0,5.895,-113.8,-4.214814814814814,-100.0,0.0
24,27.0,5.73,-113.8,-4.3769230769230765,-100.0,0.0
25,24.0,5.149,-107.2,-4.660869565217391,-100.0,0.0
26,29.0,6.117,-114.8,-4.1,-100.0,0.2
27,26.0,5.525,-111.4,-4.456,-100.0,0.0
28,25.0,5.35,-110.2,-4.591666666666667,-100.0,0.0
29,24.0,5.119,-107.8,-4.68695652173913,-100.0,0.0
30,24.0,5.14,-106.6,-4.634782608695652,-100.0,0.0
31,23.0,4.924,-103.6,-4.709090909090909,-100.0,0.0
32,29.0,6.1,-113.8,-4.064285714285713,-100.0,0.0
33,22.0,4.758,-103.0,-4.904761904761905,-100.0,0.0
34,24.0,5.141,-103.6,-4.504347826086956,-100.0,0.0
35,27.0,5.726,-109.6,-4.215384615384616,-100.0,0.0
36,23.0,4.896,-102.8,-4.672727272727273,-100.0,0.8
37,22.0,4.713,-103.0,-4.904761904761905,-100.0,0.0
38,22.0,4.726,-103.0,-4.904761904761905,-100.0,0.0
39,22.0,4.723,-103.6,-4.933333333333333,-100.0,0.0
40,28.0,5.931,-113.8,-4.214814814814814,-100.0,0.0
41,26.0,5.53,-107.2,-4.288,-100.0,0.0
42,240.0,48.387,-140.80000000000013,-0.5891213389121339,-100.0,0.8
43,238.0,47.91,-137.6000000000001,-0.5805907172995781,-100.0,0.8
44,131.0,26.527,-117.19999999999997,-0.9015384615384616,-100.0,0.8
45,208.0,41.949,-140.40000000000006,-0.6782608695652175,-100.0,0.8
46,232.0,46.704,-133.2000000000001,-0.5766233766233767,-100.0,0.8
47,500.0,100.406,-69.7999999999999,-0.1398797595190381,-0.6000000000000001,0.8
48,500.0,100.413,-47.00000000000011,-0.09418837675350704,-0.6000000000000001,0.8
49,261.0,52.597,-116.0,-0.44615384615384623,-100.0,0.8
50,234.0,47.149,-110.99999999999999,-0.4763948497854077,-100.0,0.8
51,223.0,44.929,-138.40000000000006,-0.6234234234234235,-100.0,0.8
52,500.0,100.377,-28.600000000000165,-0.057314629258517054,-0.6000000000000001,0.8
53,500.0,100.402,8.599999999999971,0.017234468937875717,-0.6000000000000001,0.8
54,247.0,49.998,-110.19999999999997,-0.4479674796747968,-100.0,0.8
55,245.0,49.331,-142.60000000000005,-0.5844262295081968,-100.0,0.8
56,260.0,52.311,-124.00000000000004,-0.4787644787644788,-100.0,0.8
57,250.0,50.301,-119.40000000000003,-0.47951807228915666,-100.0,0.8
58,500.0,100.354,-41.60000000000021,-0.08336673346693389,-0.6000000000000001,0.8
59,500.0,100.442,-66.20000000000013,-0.1326653306613227,-0.6000000000000001,0.8
60,500.0,100.385,-23.600000000000197,-0.04729458917835674,-0.6000000000000001,0.8
61,500.0,100.414,-33.00000000000013,-0.06613226452905814,-0.6000000000000001,0.8
62,385.0,77.369,-132.80000000000013,-0.3458333333333334,-100.0,0.8
63,500.0,100.433,-46.000000000000014,-0.09218436873747497,-0.6000000000000001,0.8
64,500.0,100.354,-32.40000000000023,-0.06492985971943889,-0.6000000000000001,0.8
65,493.0,98.995,-125.20000000000016,-0.25447154471544714,-100.0,0.8
66,500.0,100.405,-30.000000000000146,-0.060120240480961935,-0.6000000000000001,0.8
67,500.0,100.379,9.200000000000006,0.018436873747494975,-0.6000000000000001,0.8
68,500.0,100.411,6.200000000000006,0.012424849699398784,-0.6000000000000001,0.8
69,500.0,100.422,-9.400000000000006,-0.018837675350701407,-0.6000000000000001,0.8
70,500.0,100.385,6.799999999999991,0.01362725450901802,-0.6000000000000001,0.8
71,500.0,100.412,-20.200000000000085,-0.04048096192384772,-0.6000000000000001,0.8
72,500.0,100.404,11.000000000000028,0.02204408817635269,-0.6000000000000001,0.8
73,500.0,100.423,7.400000000000017,0.014829659318637256,-0.6000000000000001,0.8
74,339.0,68.204,-112.79999999999998,-0.33372781065088764,-100.0,0.8
75,500.0,100.362,-7.200000000000028,-0.014428857715430876,-0.6000000000000001,0.8
76,500.0,100.389,55.59999999999987,0.11142284569138274,-0.6000000000000001,0.8
77,325.0,65.416,-78.60000000000007,-0.2425925925925926,-100.0,0.8
78,500.0,100.3,36.20000000000002,0.0725450901803607,-0.6000000000000001,0.8
79,379.0,76.41599999999998,-89.4,-0.23650793650793647,-100.0,0.8
