episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,26.0,5.52,-108.2,-4.328,-100.0,0.2
2,26.0,5.496,-110.2,-4.408,-100.0,0.0
3,24.0,5.115,-106.6,-4.634782608695652,-100.0,0.0
4,27.0,5.767,-111.4,-4.284615384615384,-100.0,0.0
5,25.0,5.301,-108.4,-4.516666666666667,-100.0,0.0
6,23.0,4.963,-107.8,-4.9,-100.0,0.0
7,23.0,4.915,-103.6,-4.709090909090909,-100.0,0.0
8,24.0,5.144,-107.8,-4.68695652173913,-100.0,0.0
9,26.0,5.498,-109.6,-4.384,-100.0,0.0
10,25.0,5.315,-105.8,-4.408333333333333,-100.0,0.2
11,26.0,5.541,-109.0,-4.36,-100.0,0.0
12,26.0,5.531,-109.0,-4.36,-100.0,0.0
13,25.0,5.324,-103.6,-4.316666666666667,-100.0,0.0
14,24.0,5.121,-107.8,-4.68695652173913,-100.0,0.0
15,31.0,6.577,-107.2,-3.573333333333333,-100.0,0.8
16,25.0,5.332,-107.8,-4.491666666666665,-100.0,0.0
17,24.0,5.095,-104.2,-4.530434782608696,-100.0,0.0
18,27.0,5.737,-111.4,-4.284615384615384,-100.0,0.0
19,24.0,5.135,-108.8,-4.730434782608696,-100.0,0.2
20,26.0,5.557,-109.4,-4.376,-100.0,0.2
21,28.0,5.888,-114.4,-4.2370370370370365,-100.0,0.0
22,29.0,6.16,-113.8,-4.064285714285713,-100.0,0.0
23,24.0,5.125,-103.4,-4.495652173913044,-100.0,0.2
24,28.0,5.929,-115.0,-4.25925925925926,-100.0,0.0
25,25.0,5.33,-109.6,-4.5666666666666655,-100.0,0.0
26,23.0,4.938,-103.6,-4.709090909090909,-100.0,0.0
27,26.0,5.532,-107.8,-4.312,-100.0,0.0
28,23.0,4.918,-102.8,-4.672727272727273,-100.0,0.2
29,24.0,5.117,-101.6,-4.4173913043478255,-100.0,0.2
30,21.0,4.548,-101.2,-5.06,-100.0,0.0
31,28.0,5.893,-114.4,-4.2370370370370365,-100.0,0.0
32,24.0,5.167,-106.0,-4.608695652173913,-100.0,0.0
33,22.0,4.695,-104.2,-4.961904761904762,-100.0,0.0
34,28.0,5.943,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
35,23.0,4.93,-103.6,-4.709090909090909,-100.0,0.0
36,35.0,7.296999999999999,-112.0,-3.294117647058824,-100.0,0.2
37,133.0,26.956,-122.8,-0.9303030303030304,-100.0,0.8
38,22.0,4.7,-103.0,-4.904761904761905,-100.0,0.0
39,112.0,22.751,-119.8,-1.0792792792792791,-100.0,0.8
40,39.0,8.124,-102.4,-2.694736842105263,-100.0,0.8
41,132.0,26.739,-108.4,-0.8274809160305344,-100.0,0.8
42,230.0,46.348,-125.00000000000004,-0.5458515283842795,-100.0,0.8
43,233.0,46.922,-116.4,-0.5017241379310344,-100.0,0.8
44,34.0,7.131,-101.6,-3.078787878787878,-100.0,0.8
45,470.0,94.375,-112.60000000000007,-0.24008528784648192,-100.0,0.8
46,252.0,50.722,-138.80000000000004,-0.552988047808765,-100.0,0.8
47,85.0,17.293,-122.4,-1.4571428571428573,-100.0,0.8
48,351.0,70.539,-110.60000000000002,-0.316,-100.0,0.8
49,137.0,27.748,-112.4,-0.8264705882352941,-100.0,0.8
50,500.0,100.324,-22.600000000000037,-0.04529058116232468,-0.6000000000000001,0.8
51,463.0,92.998,-99.39999999999996,-0.2151515151515152,-100.0,0.8
52,500.0,100.309,2.999999999999921,0.006012024048096178,-0.6000000000000001,0.8
53,118.0,24.01,-117.0,-1.0,-100.0,0.8
54,500.0,100.401,4.400000000000008,0.008817635270541063,-0.6000000000000001,0.8
55,359.0,72.19599999999998,-78.00000000000004,-0.21787709497206703,-100.0,0.8
56,500.0,100.335,-14.400000000000036,-0.028857715430861727,-0.6000000000000001,0.8
57,500.0,100.371,-22.80000000000008,-0.045691382765531086,-0.6000000000000001,0.8
58,500.0,100.395,45.19999999999992,0.09058116232464929,-0.6000000000000001,0.8
59,209.0,42.214,-92.2,-0.4432692307692308,-100.0,0.8
60,500.0,100.329,43.199999999999925,0.08657314629258518,-0.6000000000000001,0.8
61,242.0,48.825,-98.59999999999998,-0.40912863070539424,-100.0,0.8
62,230.0,46.344,-92.2,-0.4026200873362445,-100.0,0.8
63,208.0,41.933,-87.80000000000001,-0.4241545893719808,-100.0,0.8
64,213.0,42.91,-101.19999999999997,-0.47735849056603774,-100.0,0.8
65,194.0,39.142,-74.00000000000003,-0.38341968911917096,-100.0,0.8
66,197.0,39.742,-77.20000000000003,-0.39387755102040806,-100.0,0.8
67,224.0,45.105,-95.2,-0.4269058295964125,-100.0,0.8
68,229.0,46.128,-81.80000000000005,-0.35877192982456146,-100.0,0.8
69,221.0,44.524,-85.20000000000003,-0.38727272727272727,-100.0,0.8
70,201.0,40.574,-92.4,-0.462,-100.0,0.8
71,229.0,46.143,-87.20000000000003,-0.3824561403508772,-100.0,0.8
72,198.0,39.944,-77.20000000000002,-0.3918781725888325,-100.0,0.8
73,201.0,40.633,-82.80000000000001,-0.414,-100.0,0.8
74,208.0,41.974,-76.60000000000004,-0.370048309178744,-100.0,0.8
75,500.0,100.324,95.59999999999981,0.19158316633266528,-0.6000000000000001,0.8
76,500.0,100.425,82.39999999999985,0.16513026052104207,-0.6000000000000001,0.8
77,128.0,25.987,-96.99999999999999,-0.7637795275590552,-100.0,0.8
78,253.0,50.913,-49.20000000000002,-0.1952380952380952,-100.0,0.8
