episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,27.0,5.889,-111.19999999999997,-4.276923076923077,-100.0,0.2
2,24.0,5.092,-107.2,-4.660869565217391,-100.0,0.0
3,27.0,5.79,-110.8,-4.261538461538461,-100.0,0.0
4,28.0,5.904,-109.6,-4.059259259259259,-100.0,0.0
5,26.0,5.52,-109.0,-4.36,-100.0,0.0
6,25.0,5.315,-103.0,-4.291666666666666,-100.0,0.0
7,23.0,4.932,-106.0,-4.8181818181818175,-100.0,0.0
8,223.0,44.979,-127.4,-0.573873873873874,-100.0,0.8
9,25.0,5.326,-104.0,-4.333333333333333,-100.0,0.2
10,22.0,4.764,-103.6,-4.933333333333333,-100.0,0.0
11,32.0,6.695,-108.2,-3.4903225806451608,-100.0,0.8
12,214.0,43.174,-135.60000000000005,-0.6366197183098593,-100.0,0.8
13,500.0,100.504,-52.39999999999991,-0.10501002004008018,-0.6000000000000001,0.8
14,32.0,6.838,-106.8,-3.4451612903225803,-100.0,0.8
15,31.0,6.599,-108.4,-3.6133333333333337,-100.0,0.8
16,28.0,5.906,-110.2,-4.0814814814814815,-100.0,0.0
17,34.0,7.14,-113.8,-3.448484848484848,-100.0,0.2
18,24.0,5.137,-104.2,-4.530434782608696,-100.0,0.0
19,119.0,24.101,-118.4,-1.0033898305084743,-100.0,0.8
20,24.0,5.17,-105.2,-4.573913043478261,-100.0,0.8
21,225.0,45.328,-133.40000000000003,-0.5955357142857143,-100.0,0.8
22,22.0,4.729,-103.4,-4.923809523809524,-100.0,0.2
23,23.0,4.93,-104.8,-4.763636363636364,-100.0,0.0
24,25.0,5.355,-107.8,-4.491666666666665,-100.0,0.0
25,26.0,5.549,-112.6,-4.504,-100.0,0.0
26,23.0,4.941,-105.4,-4.790909090909091,-100.0,0.0
27,24.0,5.106,-105.4,-4.582608695652175,-100.0,0.0
28,27.0,5.693,-113.19999999999997,-4.3538461538461535,-100.0,0.0
29,27.0,5.742,-113.8,-4.3769230769230765,-100.0,0.0
30,118.0,23.929,-115.0,-0.9829059829059827,-100.0,0.8
31,429.0,86.13899999999998,-148.6000000000001,-0.34719626168224293,-100.0,0.8
32,27.0,5.72,-112.4,-4.323076923076924,-100.0,0.2
33,222.0,44.764,-124.8,-0.5647058823529413,-100.0,0.8
34,251.0,50.567,-133.8,-0.5352,-100.0,0.8
35,500.0,100.426,-13.800000000000114,-0.027655310621242504,-0.6000000000000001,0.8
36,342.0,68.835,-122.2,-0.35835777126099705,-100.0,0.8
37,27.0,5.704,-113.19999999999997,-4.3538461538461535,-100.0,0.0
38,500.0,100.348,-58.8000000000002,-0.1178356713426854,-0.6000000000000001,0.8
39,27.0,5.811,-113.19999999999997,-4.3538461538461535,-100.0,0.0
40,119.0,24.099,-130.40000000000003,-1.105084745762712,-100.0,0.8
41,28.0,5.962,-113.8,-4.214814814814814,-100.0,0.0
