episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,27.0,5.848,-112.6,-4.3307692307692305,-100.0,0.0
2,27.0,5.768,-110.6,-4.253846153846154,-100.0,0.2
3,25.0,5.294,-109.6,-4.5666666666666655,-100.0,0.0
4,26.0,5.537,-108.4,-4.336,-100.0,0.0
5,26.0,5.554,-110.2,-4.408,-100.0,0.0
6,27.0,5.699,-110.2,-4.2384615384615385,-100.0,0.0
7,26.0,5.531,-111.4,-4.456,-100.0,0.0
8,24.0,5.116,-105.2,-4.573913043478261,-100.0,0.8
9,26.0,5.545,-109.0,-4.36,-100.0,0.0
10,24.0,5.091,-107.2,-4.660869565217391,-100.0,0.0
11,107.0,21.743,-128.2,-1.209433962264151,-100.0,0.8
12,24.0,5.136,-105.4,-4.582608695652175,-100.0,0.0
13,23.0,4.914,-104.8,-4.763636363636364,-100.0,0.0
14,26.0,5.537,-107.6,-4.303999999999999,-100.0,0.2
15,24.0,5.141,-105.8,-4.6,-100.0,0.2
16,28.0,5.923,-111.4,-4.125925925925926,-100.0,0.0
17,27.0,5.744,-112.0,-4.3076923076923075,-100.0,0.0
18,23.0,4.948,-106.0,-4.8181818181818175,-100.0,0.0
19,26.0,5.514,-110.0,-4.4,-100.0,0.8
20,27.0,5.716,-111.4,-4.284615384615384,-100.0,0.0
21,25.0,5.333,-106.6,-4.4416666666666655,-100.0,0.0
22,124.0,25.144,-123.2,-1.0016260162601627,-100.0,0.8
23,27.0,5.734,-113.19999999999997,-4.3538461538461535,-100.0,0.0
24,31.0,6.509,-109.2,-3.64,-100.0,0.8
25,27.0,5.71,-109.6,-4.215384615384616,-100.0,0.0
26,28.0,5.988,-112.0,-4.148148148148148,-100.0,0.0
27,26.0,5.496,-110.8,-4.432,-100.0,0.0
28,31.0,6.492,-108.8,-3.6266666666666656,-100.0,0.8
29,28.0,5.935,-111.4,-4.125925925925926,-100.0,0.0
30,26.0,5.551,-111.4,-4.456,-100.0,0.0
31,37.0,7.708,-107.4,-2.9833333333333334,-100.0,0.8
32,27.0,5.733,-110.8,-4.261538461538461,-100.0,0.0
33,25.0,5.335,-107.0,-4.458333333333333,-100.0,0.2
34,27.0,5.769,-112.0,-4.3076923076923075,-100.0,0.0
35,23.0,4.924,-106.0,-4.8181818181818175,-100.0,0.0
36,23.0,4.926,-107.2,-4.872727272727273,-100.0,0.0
37,27.0,5.716,-111.4,-4.284615384615384,-100.0,0.0
38,24.0,5.186,-106.0,-4.608695652173913,-100.0,0.0
39,25.0,5.313,-108.4,-4.516666666666667,-100.0,0.0
40,25.0,5.307,-108.4,-4.516666666666667,-100.0,0.0
41,24.0,5.127,-107.2,-4.660869565217391,-100.0,0.0
42,25.0,5.351,-109.6,-4.566666666666667,-100.0,0.0
43,30.0,6.334,-103.4,-3.5655172413793106,-100.0,0.8
44,27.0,5.69,-110.8,-4.261538461538461,-100.0,0.0
45,304.0,61.127,-157.4000000000001,-0.5194719471947195,-100.0,0.8
46,25.0,5.372,-109.0,-4.541666666666665,-100.0,0.0
47,26.0,5.537,-110.8,-4.432,-100.0,0.0
