episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,28.0,5.91,-110.0,-4.0740740740740735,-100.0,0.2
2,31.0,6.524,-111.0,-3.7,-100.0,0.2
3,26.0,5.536,-109.6,-4.384,-100.0,0.0
4,23.0,4.973,-104.6,-4.754545454545454,-100.0,0.2
5,26.0,5.528,-110.8,-4.432,-100.0,0.0
6,25.0,5.312,-108.2,-4.508333333333334,-100.0,0.8
7,28.0,5.905,-111.4,-4.125925925925926,-100.0,0.0
8,28.0,5.947,-110.8,-4.103703703703704,-100.0,0.0
9,31.0,6.559,-116.8,-3.8933333333333335,-100.0,0.0
10,26.0,5.486,-110.2,-4.408,-100.0,0.0
11,28.0,5.977,-110.2,-4.0814814814814815,-100.0,0.0
12,28.0,5.927,-110.8,-4.103703703703704,-100.0,0.0
13,24.0,5.091,-110.2,-4.791304347826087,-100.0,0.0
14,26.0,5.569,-110.0,-4.4,-100.0,0.2
15,24.0,5.092,-109.0,-4.739130434782608,-100.0,0.0
16,26.0,5.554,-110.8,-4.432,-100.0,0.0
17,26.0,5.55,-112.0,-4.48,-100.0,0.0
18,26.0,5.504,-108.8,-4.352,-100.0,0.2
19,28.0,5.915,-113.19999999999997,-4.192592592592593,-100.0,0.0
20,28.0,5.968,-110.6,-4.096296296296296,-100.0,0.2
21,23.0,4.894,-106.0,-4.8181818181818175,-100.0,0.0
22,27.0,5.747,-111.4,-4.284615384615384,-100.0,0.0
23,24.0,5.144,-107.8,-4.68695652173913,-100.0,0.0
24,26.0,5.532,-106.8,-4.272,-100.0,0.2
25,24.0,5.086,-101.0,-4.391304347826087,-100.0,0.8
26,24.0,5.123,-106.6,-4.634782608695652,-100.0,0.0
27,26.0,5.545,-112.0,-4.48,-100.0,0.0
28,23.0,4.921,-106.0,-4.8181818181818175,-100.0,0.0
29,23.0,4.91,-106.0,-4.8181818181818175,-100.0,0.0
30,22.0,4.709,-103.0,-4.904761904761905,-100.0,0.0
31,23.0,4.948,-104.8,-4.763636363636364,-100.0,0.0
32,21.0,4.563,-101.2,-5.06,-100.0,0.0
33,22.0,4.701,-103.6,-4.933333333333333,-100.0,0.0
34,23.0,4.915,-105.4,-4.790909090909091,-100.0,0.0
35,22.0,4.741,-101.8,-4.847619047619047,-100.0,0.0
36,24.0,5.14,-107.8,-4.68695652173913,-100.0,0.0
37,25.0,5.346,-110.8,-4.616666666666665,-100.0,0.0
38,26.0,5.498,-112.0,-4.48,-100.0,0.0
39,29.0,6.141,-115.4,-4.121428571428572,-100.0,0.2
40,29.0,6.101,-115.0,-4.107142857142857,-100.0,0.0
41,28.0,5.963,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
42,28.0,5.912,-114.4,-4.2370370370370365,-100.0,0.0
43,24.0,5.164,-104.8,-4.556521739130433,-100.0,0.0
44,26.0,5.54,-110.8,-4.432,-100.0,0.0
45,26.0,5.48,-110.2,-4.408,-100.0,0.0
46,25.0,5.335,-110.8,-4.616666666666665,-100.0,0.0
47,24.0,5.16,-108.4,-4.71304347826087,-100.0,0.0
48,25.0,5.348,-106.0,-4.416666666666666,-100.0,0.0
49,28.0,5.913,-113.8,-4.214814814814814,-100.0,0.0
50,28.0,5.933,-112.0,-4.148148148148148,-100.0,0.0
51,26.0,5.528,-110.8,-4.432,-100.0,0.0
52,26.0,5.503,-110.8,-4.432,-100.0,0.0
53,26.0,5.567,-112.6,-4.504,-100.0,0.0
54,24.0,5.104,-107.2,-4.660869565217391,-100.0,0.0
55,23.0,4.933,-104.2,-4.736363636363636,-100.0,0.0
56,25.0,5.342,-108.4,-4.516666666666667,-100.0,0.0
57,25.0,5.32,-103.0,-4.291666666666666,-100.0,0.0
58,26.0,5.531,-110.6,-4.424,-100.0,0.2
59,26.0,5.522,-110.8,-4.432,-100.0,0.0
60,27.0,5.727,-112.0,-4.3076923076923075,-100.0,0.0
61,29.0,6.108,-116.19999999999997,-4.15,-100.0,-0.6000000000000001
62,119.0,24.136,-116.0,-0.9830508474576272,-100.0,0.8
63,26.0,5.54,-110.0,-4.4,-100.0,0.8
64,26.0,5.493,-111.4,-4.456,-100.0,0.0
65,27.0,5.726,-113.19999999999997,-4.3538461538461535,-100.0,0.0
66,25.0,5.336,-109.6,-4.5666666666666655,-100.0,0.0
67,26.0,5.532,-112.0,-4.48,-100.0,0.0
68,24.0,5.13,-106.0,-4.608695652173913,-100.0,0.0
69,25.0,5.331,-111.4,-4.641666666666667,-100.0,0.0
70,27.0,5.701,-112.6,-4.3307692307692305,-100.0,0.0
71,25.0,5.293,-111.4,-4.641666666666667,-100.0,0.0
72,25.0,5.337,-111.4,-4.641666666666667,-100.0,0.0
