episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,64.0,14.617,-108.0,-1.714285714285714,-100.0,0.8
2,22.0,4.766,-105.0,-5.0,-100.0,0.8
3,250.0,50.314,-146.00000000000009,-0.5863453815261044,-100.0,0.8
4,202.0,41.149,-127.0,-0.6318407960199006,-100.0,0.8
5,34.0,7.125,-107.0,-3.242424242424242,-100.0,0.8
6,41.0,8.705,-105.8,-2.645,-100.0,0.8
7,21.0,5.753,-108.2,-5.41,-100.0,0.2
8,190.0,38.743,-123.4,-0.6529100529100529,-100.0,0.8
9,78.0,16.514,-112.0,-1.4545454545454544,-100.0,0.8
10,103.0,21.579,-112.8,-1.1058823529411763,-100.0,0.8
11,23.0,5.084,-105.6,-4.8,-100.0,0.2
12,108.0,21.965,-107.2,-1.0018691588785047,-100.0,0.8
13,190.0,38.345,-104.6,-0.5534391534391535,-100.0,0.8
14,28.0,6.118,-108.4,-4.014814814814815,-100.0,0.0
15,25.0,5.327,-105.6,-4.4,-100.0,0.8
16,23.0,4.958,-107.0,-4.863636363636363,-100.0,0.2
17,359.0,72.539,-164.40000000000015,-0.4592178770949721,-100.0,0.8
18,148.0,29.926,-114.0,-0.7755102040816326,-100.0,0.8
19,479.0,96.132,-93.80000000000001,-0.19623430962343097,-100.0,0.8
20,30.0,6.341,-104.8,-3.613793103448276,-100.0,0.2
21,135.0,27.38,-121.60000000000002,-0.9074626865671641,-100.0,0.8
22,28.0,6.33,-98.0,-3.6296296296296298,-100.0,0.8
23,229.0,46.162,-122.2,-0.5359649122807018,-100.0,0.8
24,46.0,10.11,-101.19999999999997,-2.2488888888888887,-100.0,0.8
25,173.0,35.925,-121.60000000000004,-0.7069767441860465,-100.0,0.8
26,37.0,8.114,-116.19999999999997,-3.2277777777777774,-100.0,0.0
27,183.0,37.334,-119.0,-0.653846153846154,-100.0,0.8
28,45.0,9.566,-106.6,-2.4227272727272724,-100.0,0.8
29,350.0,70.449,-111.60000000000004,-0.3197707736389685,-100.0,0.8
30,19.0,4.121,-107.0,-5.944444444444445,-100.0,0.2
31,268.0,53.963,-139.80000000000004,-0.5235955056179775,-100.0,0.8
32,59.0,12.493,-103.2,-1.7793103448275862,-100.0,0.8
33,81.0,16.563,-101.4,-1.2675,-100.0,0.8
34,32.0,6.738,-113.0,-3.645161290322581,-100.0,0.2
35,203.0,40.933,-122.8,-0.607920792079208,-100.0,0.8
36,40.0,8.365999999999998,-104.8,-2.687179487179487,-100.0,0.8
37,36.0,7.904,-110.0,-3.142857142857143,-100.0,0.8
38,107.0,21.714,-114.8,-1.0830188679245283,-100.0,0.8
39,81.0,16.526,-120.0,-1.5,-100.0,0.8
40,188.0,38.143,-131.2,-0.7016042780748664,-100.0,0.8
41,39.0,8.131,-112.6,-2.9631578947368418,-100.0,0.2
42,113.0,23.334,-97.4,-0.8696428571428572,-100.0,0.8
43,293.0,59.131,-121.00000000000009,-0.4143835616438356,-100.0,0.8
44,50.0,10.39,-104.0,-2.122448979591837,-100.0,0.8
45,232.0,46.908,-127.80000000000004,-0.5532467532467533,-100.0,0.8
46,50.0,10.339,-102.4,-2.089795918367347,-100.0,0.8
47,500.0,100.612,-51.2,-0.10260521042084172,-0.6000000000000001,0.8
48,166.0,33.644,-110.2,-0.6678787878787878,-100.0,0.8
49,23.0,4.914,-103.8,-4.718181818181818,-100.0,0.2
50,500.0,100.344,-39.600000000000094,-0.07935871743486977,-0.6000000000000001,0.8
51,500.0,100.452,-28.00000000000016,-0.056112224448897824,-0.6000000000000001,0.8
52,94.0,20.031,-125.2,-1.346236559139785,-100.0,0.8
53,28.0,5.947,-105.0,-3.888888888888889,-100.0,0.8
54,213.0,42.927,-138.00000000000003,-0.6509433962264152,-100.0,0.8
55,500.0,100.377,-6.000000000000035,-0.012024048096192399,-0.6000000000000001,0.8
56,421.0,84.59399999999998,-131.20000000000005,-0.3123809523809524,-100.0,0.8
57,33.0,6.923,-108.2,-3.38125,-100.0,0.2
58,500.0,100.34,15.39999999999996,0.030861723446893755,-0.6000000000000001,0.8
59,96.0,19.796,-130.40000000000003,-1.3726315789473684,-100.0,0.8
60,500.0,100.349,1.4876988529977094e-14,-1.779916672745742e-17,-0.6000000000000001,0.8
61,500.0,100.79,1.8000000000000047,0.0036072144288577055,-0.6000000000000001,0.8
62,500.0,100.398,-34.80000000000005,-0.06973947895791584,-0.6000000000000001,0.8
63,244.0,49.217,-115.4,-0.47489711934156387,-100.0,0.8
64,500.0,100.544,7.399999999999973,0.014829659318637264,-0.6000000000000001,0.8
65,35.0,7.599,-117.8,-3.4647058823529413,-100.0,0.2
66,500.0,100.478,5.199999999999994,0.010420841683366716,-0.6000000000000001,0.8
67,500.0,100.633,81.20000000000019,0.1627254509018036,-0.6000000000000001,0.8
68,500.0,100.397,27.599999999999937,0.05531062124248496,-0.6000000000000001,0.8
69,500.0,100.969,0.19999999999999285,0.0004008016032063882,-0.6000000000000001,0.8
70,20.0,4.454,-105.2,-5.536842105263158,-100.0,0.2
71,500.0,100.286,18.8,0.03767535070140279,-0.6000000000000001,0.8
72,500.0,100.433,68.79999999999998,0.137875751503006,-0.6000000000000001,0.8
73,84.0,17.217,-118.4,-1.4265060240963856,-100.0,0.8
74,435.0,87.729,-67.60000000000008,-0.15576036866359447,-100.0,0.8
75,357.0,72.539,-92.0,-0.25842696629213485,-100.0,0.8
76,30.0,7.129,-95.8,-3.3034482758620687,-100.0,0.8
77,26.0,5.512,-97.6,-3.904,-100.0,0.8
78,19.0,4.127,-103.8,-5.766666666666667,-100.0,0.2
79,500.0,100.57,52.9999999999999,0.1062124248496994,-0.6000000000000001,0.8
80,500.0,100.426,29.79999999999994,0.05971943887775549,-0.6000000000000001,0.8
81,21.0,4.565,-99.2,-4.96,-100.0,0.8
82,500.0,100.39,54.99999999999982,0.11022044088176353,-0.6000000000000001,0.8
83,500.0,100.562,54.39999999999993,0.10901803607214428,-0.6000000000000001,0.8
84,500.0,100.817,43.59999999999994,0.08737474949899798,-0.6000000000000001,0.8
85,500.0,100.426,90.20000000000003,0.18076152304609217,-0.6000000000000001,0.8
86,500.0,100.402,80.40000000000003,0.1611222444889779,-0.6000000000000001,0.8
87,23.0,5.161,-99.6,-4.527272727272727,-100.0,0.8
88,475.0,95.538,-58.00000000000008,-0.12236286919831224,-100.0,0.8
89,299.0,60.375,-108.8,-0.3651006711409396,-100.0,0.8
90,45.0,9.744,-117.6,-2.672727272727273,-100.0,0.2
91,500.0,100.517,67.59999999999971,0.13547094188376752,-0.6000000000000001,0.8
92,25.0,5.803,-104.2,-4.341666666666666,-100.0,0.2
93,158.0,31.944,-86.20000000000003,-0.5490445859872612,-100.0,0.8
94,35.0,7.319,-110.2,-3.2411764705882358,-100.0,0.0
95,67.0,14.332,-107.8,-1.6333333333333333,-100.0,0.8
96,421.0,84.516,-53.60000000000009,-0.12761904761904763,-100.0,0.8
97,33.0,7.924,-110.2,-3.44375,-100.0,0.0
98,49.0,10.093,-94.6,-1.9708333333333328,-100.0,0.8
99,25.0,5.54,-101.2,-4.216666666666667,-100.0,0.0
100,41.0,8.681000000000001,-106.6,-2.665,-100.0,0.8
101,46.0,9.544,-96.4,-2.1422222222222222,-100.0,0.8
102,101.0,20.542,-104.6,-1.046,-100.0,0.8
103,80.0,16.332,-96.4,-1.220253164556962,-100.0,0.8
104,27.0,5.696,-107.8,-4.146153846153846,-100.0,0.0
105,148.0,29.959,-104.19999999999997,-0.708843537414966,-100.0,0.8
106,456.0,91.903,-75.6000000000001,-0.16615384615384615,-100.0,0.8
107,108.0,22.177,-105.0,-0.9813084112149533,-100.0,0.8
108,500.0,100.271,89.40000000000006,0.1791583166332665,-0.6000000000000001,0.8
109,36.0,7.578,-104.2,-2.9771428571428573,-100.0,0.8
110,245.0,49.378,-74.39999999999996,-0.3049180327868852,-100.0,0.8
111,13.0,3.112,-101.8,-8.48333333333333,-100.0,0.0
112,285.0,57.352,-53.0,-0.18661971830985916,-100.0,0.8
113,200.0,40.774,-105.0,-0.5276381909547737,-100.0,0.8
114,500.0,100.292,88.3999999999998,0.17715430861723444,-0.6000000000000001,0.8
115,291.0,58.609,-87.60000000000008,-0.30206896551724144,-100.0,0.8
116,500.0,100.338,60.19999999999992,0.12064128256513024,-0.6000000000000001,0.8
117,364.0,73.19799999999998,-64.00000000000009,-0.1763085399449036,-100.0,0.8
118,500.0,100.785,101.99999999999984,0.20440881763527052,-0.6000000000000001,0.8
119,213.0,43.376,-96.2,-0.4537735849056604,-100.0,0.8
120,500.0,100.525,61.39999999999993,0.12304609218436872,-0.6000000000000001,0.8
121,500.0,100.42,14.399999999999844,0.028857715430861703,-0.6000000000000001,0.8
122,500.0,101.396,66.99999999999993,0.1342685370741483,-0.6000000000000001,0.8
123,40.0,8.614,-113.6,-2.9128205128205127,-100.0,0.2
124,500.0,100.511,13.00000000000001,0.026052104208416815,-0.6000000000000001,0.8
125,500.0,100.806,71.79999999999984,0.1438877755511022,-0.6000000000000001,0.8
126,500.0,100.421,32.799999999999926,0.06573146292585169,-0.6000000000000001,0.8
127,414.0,83.22,-82.6000000000001,-0.2,-100.0,0.8
128,19.0,4.348,-106.2,-5.9,-100.0,0.2
129,500.0,100.314,57.999999999999915,0.11623246492985972,-0.6000000000000001,0.8
130,500.0,100.406,52.19999999999988,0.10460921843687372,-0.6000000000000001,0.8
131,500.0,100.406,51.19999999999985,0.10260521042084168,-0.6000000000000001,0.8
132,30.0,6.458,-104.8,-3.613793103448276,-100.0,0.0
133,16.0,3.503,-100.0,-6.666666666666666,-100.0,0.0
