episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,14.0,4.059,-103.0,-7.923076923076923,-100.0,0.0
2,18.0,4.117,-104.4,-6.141176470588236,-100.0,0.8
3,83.0,16.929,-123.0,-1.5,-100.0,0.8
4,30.0,6.529,-109.4,-3.772413793103448,-100.0,0.2
5,47.0,9.949,-118.2,-2.5695652173913044,-100.0,0.2
6,241.0,48.643,-137.80000000000004,-0.5741666666666666,-100.0,0.8
7,154.0,31.168,-123.8,-0.8091503267973856,-100.0,0.8
8,120.0,24.878,-126.60000000000002,-1.0638655462184872,-100.0,0.8
9,120.0,24.549,-105.4,-0.8857142857142858,-100.0,0.8
10,114.0,23.152,-124.0,-1.0973451327433628,-100.0,0.8
11,48.0,11.093,-117.6,-2.502127659574468,-100.0,0.8
12,269.0,54.547,-136.4000000000001,-0.508955223880597,-100.0,0.8
13,22.0,5.361,-111.19999999999997,-5.295238095238095,-100.0,0.2
14,80.0,16.758,-103.6,-1.3113924050632912,-100.0,0.8
15,203.0,41.717,-122.80000000000003,-0.6079207920792079,-100.0,0.8
16,234.0,47.168,-122.60000000000004,-0.5261802575107296,-100.0,0.8
17,67.0,13.725,-103.0,-1.5606060606060603,-100.0,0.8
18,32.0,6.705,-99.0,-3.193548387096774,-100.0,0.8
19,52.0,10.753,-117.8,-2.309803921568628,-100.0,0.2
20,25.0,5.328,-106.8,-4.45,-100.0,0.8
21,94.0,19.32,-124.4,-1.3376344086021503,-100.0,0.8
22,72.0,14.932,-109.2,-1.5380281690140845,-100.0,0.8
23,78.0,15.962,-121.4,-1.5766233766233764,-100.0,0.8
24,127.0,26.737,-121.8,-0.9666666666666669,-100.0,0.8
25,500.0,100.565,-76.79999999999984,-0.15390781563126255,-0.6000000000000001,0.8
26,287.0,57.777,-119.4,-0.4174825174825175,-100.0,0.8
27,26.0,5.927,-110.8,-4.432,-100.0,0.0
28,164.0,33.14,-138.40000000000003,-0.8490797546012269,-100.0,0.8
29,51.0,10.529,-107.0,-2.14,-100.0,0.2
30,151.0,30.52,-122.2,-0.8146666666666668,-100.0,0.8
31,34.0,7.338,-106.0,-3.212121212121212,-100.0,0.8
32,45.0,9.35,-109.2,-2.4818181818181815,-100.0,0.8
33,500.0,100.342,-15.99999999999998,-0.03206412825651305,-0.6000000000000001,0.8
34,20.0,4.781,-104.4,-5.494736842105263,-100.0,0.8
35,433.0,88.152,-133.4000000000001,-0.3087962962962963,-100.0,0.8
36,105.0,22.1,-127.00000000000001,-1.2211538461538463,-100.0,0.8
37,247.0,49.714,-129.00000000000009,-0.524390243902439,-100.0,0.8
38,500.0,100.541,1.4000000000000128,0.002805611222444873,-0.6000000000000001,0.8
39,350.0,71.393,-108.6,-0.31117478510028657,-100.0,0.8
40,33.0,6.923,-113.19999999999997,-3.5375,-100.0,0.0
41,382.0,76.748,-163.80000000000018,-0.42992125984251967,-100.0,0.8
42,313.0,63.135,-140.0000000000001,-0.44871794871794873,-100.0,0.8
43,28.0,6.324,-115.0,-4.25925925925926,-100.0,0.0
44,73.0,15.177,-109.2,-1.5166666666666668,-100.0,0.8
45,80.0,16.344,-94.6,-1.1974683544303797,-100.0,0.8
46,155.0,31.513,-114.0,-0.7402597402597402,-100.0,0.8
47,53.0,10.927,-101.6,-1.9538461538461536,-100.0,0.8
48,29.0,6.114,-106.2,-3.792857142857143,-100.0,0.8
49,85.0,17.758,-109.4,-1.3023809523809524,-100.0,0.8
50,29.0,6.094,-113.19999999999997,-4.042857142857144,-100.0,0.0
51,44.0,9.724,-114.8,-2.669767441860465,-100.0,0.8
52,97.0,19.941,-101.0,-1.0520833333333333,-100.0,0.8
53,22.0,4.756,-102.4,-4.876190476190477,-100.0,0.2
54,46.0,9.719,-115.19999999999997,-2.56,-100.0,0.2
55,51.0,10.917,-108.6,-2.172,-100.0,0.2
56,73.0,15.139,-117.4,-1.6305555555555555,-100.0,0.8
57,52.0,10.917,-106.8,-2.094117647058824,-100.0,0.2
58,29.0,6.119,-104.2,-3.721428571428572,-100.0,0.2
59,87.0,17.961,-112.6,-1.3093023255813951,-100.0,0.8
60,95.0,19.556,-95.6,-1.0170212765957447,-100.0,0.8
61,18.0,4.324,-100.0,-5.882352941176471,-100.0,0.0
62,64.0,13.714,-107.4,-1.7047619047619047,-100.0,0.2
63,44.0,9.128,-113.0,-2.6279069767441854,-100.0,0.8
64,68.0,13.935,-112.8,-1.6835820895522389,-100.0,0.8
65,25.0,5.329,-109.0,-4.541666666666666,-100.0,0.0
66,47.0,9.94,-119.6,-2.6,-100.0,0.2
67,34.0,7.094,-112.2,-3.4,-100.0,0.8
68,191.0,38.544,-95.6,-0.503157894736842,-100.0,0.8
69,28.0,5.953,-103.0,-3.8148148148148153,-100.0,0.0
70,465.0,93.49400000000001,-36.999999999999964,-0.07974137931034483,-100.0,0.8
71,43.0,8.951,-105.4,-2.509523809523809,-100.0,0.8
72,34.0,7.549,-104.2,-3.1575757575757577,-100.0,0.8
73,398.0,80.119,-78.00000000000003,-0.1964735516372796,-100.0,0.8
74,49.0,10.911,-109.0,-2.270833333333333,-100.0,0.8
75,500.0,100.578,22.79999999999988,0.04569138276553104,-0.6000000000000001,0.8
76,340.0,68.382,-68.60000000000008,-0.2023598820058997,-100.0,0.8
77,422.0,85.165,9.800000000000013,0.023277909738717368,-100.0,0.8
78,126.0,25.527,-96.8,-0.7743999999999999,-100.0,0.8
79,500.0,100.3,83.39999999999976,0.16713426853707417,-0.6000000000000001,0.8
80,38.0,8.422,-119.2,-3.221621621621622,-100.0,0.0
81,82.0,16.738,-111.8,-1.380246913580247,-100.0,0.8
82,406.0,81.711,-91.00000000000016,-0.22469135802469145,-100.0,0.8
83,30.0,7.344999999999998,-102.2,-3.524137931034483,-100.0,0.8
84,39.0,8.131999999999998,-106.0,-2.789473684210526,-100.0,0.0
85,167.0,33.721,-77.0,-0.463855421686747,-100.0,0.8
86,111.0,22.714,-77.0,-0.7,-100.0,0.8
