episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,34.0,7.253,-108.4,-3.2848484848484847,-100.0,0.8
2,249.0,50.16,-155.80000000000007,-0.6282258064516129,-100.0,0.8
3,19.0,4.322,-104.0,-5.777777777777778,-100.0,0.2
4,25.0,5.294,-103.6,-4.3166666666666655,-100.0,0.0
5,94.0,19.14,-112.8,-1.2129032258064516,-100.0,0.8
6,45.0,10.38,-113.8,-2.5863636363636364,-100.0,0.8
7,27.0,5.869,-107.8,-4.146153846153846,-100.0,0.8
8,22.0,4.796,-102.8,-4.895238095238096,-100.0,0.2
9,203.0,40.911,-122.6,-0.606930693069307,-100.0,0.8
10,79.0,16.508,-100.6,-1.2897435897435896,-100.0,0.8
11,41.0,8.566,-111.6,-2.79,-100.0,0.8
12,168.0,33.928,-103.6,-0.6203592814371257,-100.0,0.8
13,129.0,26.086,-108.2,-0.8453125000000001,-100.0,0.8
14,56.0,11.559,-106.8,-1.9418181818181817,-100.0,0.8
15,36.0,7.517999999999998,-112.0,-3.2,-100.0,0.0
16,92.0,18.936,-109.4,-1.2021978021978024,-100.0,0.8
17,38.0,7.917,-118.0,-3.1891891891891886,-100.0,0.0
18,31.0,6.732,-104.6,-3.4866666666666664,-100.0,0.8
19,32.0,6.969,-108.2,-3.4903225806451608,-100.0,0.8
20,187.0,37.921,-114.0,-0.6129032258064516,-100.0,0.8
21,17.0,4.893,-109.0,-6.8125,-100.0,-0.6000000000000001
22,195.0,39.728,-134.80000000000007,-0.6948453608247424,-100.0,0.8
23,197.0,39.736,-126.60000000000007,-0.6459183673469389,-100.0,0.8
24,24.0,5.329,-99.4,-4.321739130434783,-100.0,0.8
25,121.0,24.556,-112.19999999999997,-0.935,-100.0,0.8
26,69.0,14.301,-112.2,-1.65,-100.0,0.8
27,27.0,5.751,-112.0,-4.3076923076923075,-100.0,0.0
28,16.0,3.53,-100.0,-6.666666666666666,-100.0,0.0
29,101.0,20.501,-108.0,-1.08,-100.0,0.8
30,238.0,48.149,-119.2,-0.5029535864978903,-100.0,0.8
31,33.0,7.121,-105.8,-3.3062499999999995,-100.0,0.2
32,19.0,4.319,-107.0,-5.944444444444445,-100.0,0.2
33,161.0,32.507,-125.80000000000003,-0.7862500000000001,-100.0,0.8
34,15.0,3.344,-100.0,-7.142857142857143,-100.0,0.0
35,197.0,39.731,-122.00000000000001,-0.6224489795918368,-100.0,0.8
36,46.0,9.509,-114.4,-2.542222222222222,-100.0,0.2
37,343.0,70.119,-114.60000000000002,-0.33508771929824566,-100.0,0.8
38,98.0,19.967,-129.60000000000002,-1.336082474226804,-100.0,0.8
39,170.0,34.781,-113.0,-0.668639053254438,-100.0,0.8
40,24.0,5.164,-104.2,-4.530434782608696,-100.0,0.8
41,127.0,25.755,-118.6,-0.9412698412698413,-100.0,0.8
42,65.0,13.353,-112.6,-1.759375,-100.0,0.2
43,107.0,21.881,-120.2,-1.1339622641509435,-100.0,0.8
44,126.0,25.969,-112.6,-0.9008,-100.0,0.8
45,500.0,100.738,-55.000000000000014,-0.11022044088176355,-0.6000000000000001,0.8
46,332.0,67.06,-146.00000000000003,-0.44108761329305135,-100.0,0.8
47,34.0,7.586999999999998,-107.2,-3.2484848484848485,-100.0,0.8
48,290.0,58.325,-137.80000000000007,-0.4768166089965398,-100.0,0.8
49,500.0,100.348,-59.600000000000136,-0.11943887775551104,-0.6000000000000001,0.8
50,301.0,60.613,-142.8,-0.476,-100.0,0.8
51,245.0,49.571,-148.80000000000007,-0.6098360655737706,-100.0,0.8
52,29.0,6.293,-103.6,-3.7,-100.0,0.0
53,219.0,44.259,-124.20000000000005,-0.569724770642202,-100.0,0.8
54,190.0,38.759,-128.40000000000003,-0.6793650793650794,-100.0,0.8
55,459.0,92.313,-160.00000000000014,-0.34934497816593885,-100.0,0.8
56,178.0,36.331,-118.8,-0.6711864406779661,-100.0,0.8
57,250.0,50.349,-130.6000000000001,-0.5244979919678716,-100.0,0.8
58,26.0,5.524,-110.8,-4.432,-100.0,0.0
59,39.0,8.122999999999998,-108.8,-2.863157894736842,-100.0,0.8
60,69.0,14.576,-113.0,-1.661764705882353,-100.0,0.2
61,76.0,15.906,-122.6,-1.6346666666666667,-100.0,0.8
62,69.0,14.116,-109.8,-1.6147058823529412,-100.0,0.2
63,113.0,22.966,-121.6,-1.0857142857142859,-100.0,0.8
64,29.0,6.74,-115.6,-4.128571428571428,-100.0,0.0
65,49.0,10.333,-103.8,-2.1625,-100.0,0.8
66,48.0,10.364,-100.0,-2.1276595744680846,-100.0,0.8
67,51.0,10.534,-109.19999999999997,-2.184,-100.0,0.8
68,30.0,6.536,-115.6,-3.986206896551724,-100.0,0.0
69,248.0,50.144,-127.00000000000004,-0.5141700404858299,-100.0,0.8
70,26.0,6.102,-109.6,-4.384,-100.0,0.0
71,35.0,7.367,-107.6,-3.1647058823529406,-100.0,0.8
72,226.0,45.506,-103.4,-0.4595555555555556,-100.0,0.8
73,282.0,56.736,-101.0,-0.35943060498220647,-100.0,0.8
74,27.0,5.764,-98.6,-3.792307692307692,-100.0,0.8
75,20.0,4.689,-102.4,-5.389473684210526,-100.0,0.8
76,14.0,3.969,-100.0,-7.6923076923076925,-100.0,0.0
77,28.0,6.116,-101.2,-3.748148148148149,-100.0,0.0
78,35.0,7.333,-102.0,-3.0,-100.0,0.8
79,117.0,23.675,-108.4,-0.9344827586206896,-100.0,0.8
80,285.0,57.37,-129.00000000000009,-0.45422535211267606,-100.0,0.8
81,30.0,6.336,-101.2,-3.4896551724137934,-100.0,0.0
82,39.0,8.12,-104.4,-2.747368421052632,-100.0,0.8
83,251.0,50.604,-131.00000000000003,-0.524,-100.0,0.8
84,97.0,20.36,-119.0,-1.2395833333333333,-100.0,0.8
85,79.0,16.153,-114.4,-1.4666666666666668,-100.0,0.2
86,13.0,3.156,-101.2,-8.433333333333334,-100.0,0.0
87,307.0,61.736,-112.6,-0.3679738562091503,-100.0,0.8
88,98.0,20.126,-117.6,-1.2123711340206185,-100.0,0.2
89,145.0,29.408,-110.8,-0.7694444444444444,-100.0,0.8
90,81.0,16.557,-117.0,-1.4625,-100.0,0.2
91,13.0,3.128,-99.2,-8.266666666666667,-100.0,0.8
92,45.0,9.313,-110.6,-2.513636363636364,-100.0,0.2
93,97.0,19.919,-93.99999999999999,-0.9791666666666665,-100.0,0.8
94,37.0,8.131,-119.8,-3.3277777777777775,-100.0,0.0
95,40.0,8.572,-109.8,-2.815384615384615,-100.0,0.8
96,37.0,7.695999999999999,-108.6,-3.0166666666666666,-100.0,0.2
97,47.0,9.962,-103.8,-2.256521739130435,-100.0,0.8
98,17.0,3.799,-105.8,-6.6125,-100.0,0.2
99,184.0,37.321,-116.4,-0.6360655737704918,-100.0,0.8
100,31.0,7.153,-105.8,-3.5266666666666664,-100.0,0.8
101,45.0,9.339,-103.6,-2.3545454545454545,-100.0,0.8
102,107.0,21.731,-109.6,-1.0339622641509432,-100.0,0.8
103,33.0,6.962,-106.2,-3.3187500000000005,-100.0,0.8
104,134.0,27.574,-124.4,-0.9353383458646618,-100.0,0.8
105,163.0,32.891,-108.99999999999999,-0.6728395061728394,-100.0,0.8
106,238.0,48.614,-92.6,-0.3907172995780591,-100.0,0.8
107,500.0,100.759,93.39999999999985,0.1871743486973948,-0.6000000000000001,0.8
108,207.0,41.865,-84.20000000000002,-0.40873786407766993,-100.0,0.8
109,30.0,6.949,-116.8,-4.027586206896552,-100.0,-0.6000000000000001
110,23.0,4.936,-102.2,-4.6454545454545455,-100.0,0.2
111,162.0,32.726,-127.4,-0.791304347826087,-100.0,0.8
112,204.0,41.791,-70.80000000000001,-0.34876847290640384,-100.0,0.8
113,54.0,11.15,-111.4,-2.1018867924528304,-100.0,0.8
114,327.0,65.943,-92.80000000000005,-0.2846625766871166,-100.0,0.8
115,500.0,100.586,43.59999999999989,0.08737474949899798,-0.6000000000000001,0.8
116,98.0,20.005,-108.4,-1.1175257731958763,-100.0,0.8
117,47.0,9.715,-115.0,-2.5,-100.0,0.2
118,27.0,6.132,-96.8,-3.723076923076923,-100.0,0.8
119,500.0,100.354,51.79999999999977,0.10380761523046092,-0.6000000000000001,0.8
120,20.0,4.568,-110.0,-5.789473684210527,-100.0,0.2
121,82.0,16.781,-120.8,-1.4913580246913583,-100.0,0.8
122,64.0,13.122,-119.6,-1.8984126984126983,-100.0,0.2
123,376.0,75.55299999999998,-96.80000000000003,-0.2581333333333334,-100.0,0.8
124,287.0,57.836,-140.20000000000007,-0.49020979020979033,-100.0,0.8
125,500.0,100.342,41.5999999999999,0.08336673346693385,-0.6000000000000001,0.8
126,500.0,100.456,50.999999999999766,0.10220440881763528,-0.6000000000000001,0.8
127,37.0,7.822,-117.0,-3.25,-100.0,0.2
128,228.0,46.131,-103.8,-0.4572687224669603,-100.0,0.8
129,500.0,100.436,53.19999999999994,0.1066132264529058,-0.6000000000000001,0.8
130,500.0,100.72,11.400000000000023,0.02284569138276552,-0.6000000000000001,0.8
131,500.0,100.578,16.399999999999938,0.03286573146292583,-0.6000000000000001,0.8
132,28.0,6.234,-101.0,-3.740740740740741,-100.0,0.8
133,47.0,9.717,-113.4,-2.465217391304348,-100.0,0.2
134,48.0,10.116,-101.0,-2.148936170212766,-100.0,0.8
135,28.0,5.966,-99.4,-3.6814814814814816,-100.0,0.8
136,21.0,4.703,-104.0,-5.2,-100.0,0.2
137,500.0,100.39,-30.000000000000405,-0.060120240480961935,-0.6000000000000001,0.8
138,500.0,100.421,-142.79999999999916,-0.2861723446893788,-0.6000000000000001,0.8
139,50.0,10.373,-110.19999999999997,-2.2489795918367346,-100.0,0.8
140,105.0,21.576,-114.8,-1.103846153846154,-100.0,0.8
141,55.0,11.312,-111.2,-2.05925925925926,-100.0,0.8
