episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,190.0,38.679,-132.20000000000005,-0.6994708994708996,-100.0,0.8
2,15.0,3.56,-103.0,-7.357142857142856,-100.0,0.0
3,74.0,15.355,-122.2,-1.673972602739726,-100.0,0.8
4,22.0,4.761,-106.8,-5.0857142857142845,-100.0,0.2
5,173.0,34.95,-105.8,-0.6151162790697675,-100.0,0.8
6,20.0,4.281,-100.4,-5.28421052631579,-100.0,0.8
7,75.0,15.364,-118.8,-1.6054054054054057,-100.0,0.8
8,254.0,51.177,-140.20000000000007,-0.5541501976284585,-100.0,0.8
9,194.0,39.142,-118.19999999999997,-0.6124352331606218,-100.0,0.8
10,77.0,15.929,-125.2,-1.6473684210526316,-100.0,0.8
11,62.0,12.789,-108.6,-1.7803278688524589,-100.0,0.8
12,52.0,11.315,-118.6,-2.325490196078431,-100.0,0.0
13,43.0,9.315,-115.6,-2.7523809523809524,-100.0,0.2
14,222.0,44.727,-145.80000000000007,-0.6597285067873304,-100.0,0.8
15,32.0,7.167,-103.2,-3.329032258064516,-100.0,0.8
16,300.0,60.358,-103.4,-0.3458193979933111,-100.0,0.8
17,69.0,14.348,-112.6,-1.6558823529411764,-100.0,0.8
18,70.0,14.721,-108.0,-1.565217391304348,-100.0,0.8
19,94.0,19.32,-126.60000000000002,-1.3612903225806452,-100.0,0.8
20,88.0,17.935,-118.2,-1.3586206896551725,-100.0,0.8
21,126.0,25.515,-120.2,-0.9616,-100.0,0.8
22,230.0,46.592,-137.40000000000006,-0.6,-100.0,0.8
23,126.0,25.715,-128.60000000000002,-1.0288,-100.0,0.8
24,15.0,3.296,-106.6,-7.614285714285715,-100.0,0.0
25,95.0,19.372,-119.2,-1.2680851063829788,-100.0,0.8
26,18.0,3.933,-108.0,-6.352941176470588,-100.0,0.2
27,162.0,33.896,-132.60000000000002,-0.8236024844720496,-100.0,0.8
28,26.0,5.543,-101.2,-4.048,-100.0,0.8
29,110.0,22.524,-105.4,-0.9669724770642202,-100.0,0.8
30,45.0,9.334,-104.2,-2.368181818181818,-100.0,0.8
31,40.0,8.326,-101.2,-2.594871794871795,-100.0,0.8
32,23.0,4.924,-104.4,-4.745454545454546,-100.0,0.8
33,14.0,3.324,-103.6,-7.969230769230768,-100.0,0.0
34,147.0,29.929,-125.80000000000003,-0.8616438356164384,-100.0,0.8
35,105.0,21.351,-120.2,-1.1557692307692309,-100.0,0.8
36,25.0,5.336,-105.6,-4.4,-100.0,0.8
37,37.0,7.916,-114.8,-3.1888888888888887,-100.0,0.2
38,33.0,6.911,-109.0,-3.40625,-100.0,0.0
39,28.0,6.745,-106.0,-3.9259259259259265,-100.0,0.8
40,203.0,41.126,-136.20000000000007,-0.6742574257425743,-100.0,0.8
41,23.0,4.928,-107.2,-4.872727272727273,-100.0,0.8
42,227.0,45.741,-141.00000000000003,-0.6238938053097345,-100.0,0.8
43,42.0,8.910999999999998,-108.8,-2.6536585365853655,-100.0,0.8
44,148.0,29.926,-119.4,-0.8122448979591836,-100.0,0.8
45,104.0,21.926,-116.19999999999997,-1.1281553398058253,-100.0,0.8
46,166.0,33.575,-125.00000000000001,-0.7575757575757578,-100.0,0.8
47,26.0,5.524,-107.2,-4.288,-100.0,0.0
48,33.0,6.937,-114.6,-3.58125,-100.0,0.2
49,21.0,4.513,-102.6,-5.13,-100.0,0.8
50,38.0,7.921999999999999,-101.6,-2.7459459459459454,-100.0,0.8
51,42.0,8.729,-111.0,-2.707317073170732,-100.0,0.8
52,27.0,6.501,-108.8,-4.184615384615385,-100.0,0.8
53,58.0,11.96,-119.2,-2.0912280701754384,-100.0,0.8
54,63.0,12.909,-110.0,-1.7741935483870968,-100.0,0.8
55,153.0,31.338,-125.0,-0.8223684210526315,-100.0,0.8
56,94.0,19.144,-114.8,-1.2344086021505376,-100.0,0.8
57,168.0,33.919,-109.4,-0.6550898203592814,-100.0,0.8
58,27.0,5.91,-110.6,-4.253846153846154,-100.0,0.2
59,146.0,29.728,-133.60000000000005,-0.9213793103448276,-100.0,0.8
60,81.0,16.556,-114.19999999999997,-1.4275,-100.0,0.8
61,30.0,6.749,-108.2,-3.731034482758621,-100.0,0.8
62,13.0,3.512,-104.8,-8.73333333333333,-100.0,0.0
