episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,165.0,33.323,-117.19999999999997,-0.7146341463414634,-100.0,0.8
2,18.0,3.937,-109.0,-6.411764705882352,-100.0,0.0
3,101.0,20.526,-130.20000000000005,-1.3019999999999998,-100.0,0.8
4,148.0,30.123,-118.60000000000002,-0.8068027210884353,-100.0,0.8
5,26.0,6.144,-104.8,-4.192,-100.0,0.2
6,88.0,17.934,-119.6,-1.3747126436781607,-100.0,0.8
7,23.0,4.888,-111.2,-5.054545454545456,-100.0,0.2
8,41.0,8.522999999999998,-115.0,-2.875,-100.0,0.0
9,94.0,19.536,-118.8,-1.2774193548387098,-100.0,0.8
10,175.0,35.742,-122.6,-0.7045977011494253,-100.0,0.8
11,167.0,33.947,-124.80000000000003,-0.7518072289156625,-100.0,0.8
12,102.0,20.721,-118.0,-1.1683168316831682,-100.0,0.8
13,50.0,10.38,-105.0,-2.142857142857143,-100.0,0.8
14,15.0,3.48,-103.0,-7.357142857142856,-100.0,0.0
15,159.0,32.13,-127.40000000000003,-0.8063291139240507,-100.0,0.8
16,45.0,9.779000000000002,-113.0,-2.5681818181818183,-100.0,0.8
17,215.0,43.347,-111.59999999999998,-0.5214953271028038,-100.0,0.8
18,41.0,8.534,-116.19999999999997,-2.905,-100.0,0.2
19,19.0,4.138,-103.0,-5.722222222222222,-100.0,0.0
20,21.0,4.512,-102.2,-5.11,-100.0,0.8
21,500.0,100.777,27.999999999999805,0.056112224448897775,-0.6000000000000001,0.8
22,163.0,33.019,-125.4,-0.7740740740740742,-100.0,0.8
23,52.0,11.334,-104.2,-2.0431372549019606,-100.0,0.8
24,24.0,5.16,-112.4,-4.886956521739131,-100.0,0.2
25,31.0,6.486,-108.6,-3.62,-100.0,0.2
26,78.0,16.146,-109.8,-1.425974025974026,-100.0,0.8
27,43.0,9.135,-113.6,-2.704761904761905,-100.0,0.8
28,18.0,5.556,-100.6,-5.917647058823529,-100.0,0.0
29,496.0,99.545,-104.39999999999996,-0.21090909090909088,-100.0,0.8
30,26.0,5.895,-111.2,-4.448,-100.0,0.2
31,393.0,79.25799999999998,-42.99999999999977,-0.1096938775510204,-100.0,0.8
32,223.0,44.963,-117.2,-0.527927927927928,-100.0,0.8
33,37.0,7.73,-111.6,-3.1,-100.0,0.8
34,459.0,92.143,-79.60000000000008,-0.1737991266375546,-100.0,0.8
35,98.0,19.979,-107.8,-1.111340206185567,-100.0,0.8
36,148.0,30.015,-99.99999999999999,-0.6802721088435374,-100.0,0.8
37,231.0,46.825,-115.8,-0.5034782608695652,-100.0,0.8
38,18.0,3.894,-109.6,-6.447058823529411,-100.0,-0.6000000000000001
39,49.0,10.085,-107.4,-2.2375,-100.0,0.2
40,87.0,17.801,-114.6,-1.3325581395348836,-100.0,0.8
41,22.0,5.085,-98.6,-4.695238095238095,-100.0,0.8
42,24.0,5.318,-103.6,-4.504347826086956,-100.0,0.2
43,70.0,14.769,-105.6,-1.5304347826086955,-100.0,0.8
44,42.0,9.079,-105.0,-2.5609756097560976,-100.0,0.8
45,162.0,32.735,-75.79999999999998,-0.47080745341614894,-100.0,0.8
46,350.0,70.645,-60.40000000000013,-0.17306590257879653,-100.0,0.8
47,21.0,4.746,-98.0,-4.9,-100.0,0.8
48,21.0,4.539,-100.4,-5.02,-100.0,0.8
49,60.0,12.336,-110.2,-1.867796610169492,-100.0,0.2
50,29.0,6.501,-113.6,-4.057142857142857,-100.0,0.2
51,74.0,15.772,-96.6,-1.3232876712328767,-100.0,0.8
52,20.0,4.898,-104.4,-5.494736842105263,-100.0,0.2
53,65.0,13.335,-114.8,-1.79375,-100.0,0.8
54,37.0,7.91,-102.2,-2.838888888888889,-100.0,0.8
55,49.0,10.364,-115.6,-2.4083333333333337,-100.0,0.0
56,243.0,49.092,-66.19999999999999,-0.2735537190082645,-100.0,0.8
57,26.0,5.729,-107.2,-4.288,-100.0,0.0
58,69.0,14.556,-93.6,-1.376470588235294,-100.0,0.8
59,91.0,19.131,-97.6,-1.0844444444444443,-100.0,0.8
60,500.0,100.567,113.19999999999992,0.2268537074148297,-0.6000000000000001,0.8
61,57.0,11.987,-105.6,-1.8857142857142857,-100.0,0.8
62,48.0,10.578,-101.0,-2.148936170212766,-100.0,0.8
63,37.0,7.949,-102.4,-2.8444444444444446,-100.0,0.0
64,20.0,4.308,-101.6,-5.347368421052631,-100.0,0.2
65,500.0,100.349,132.5999999999999,0.2657314629258517,-0.6000000000000001,0.8
66,500.0,100.368,131.3999999999999,0.26332665330661326,-0.6000000000000001,0.8
67,500.0,100.409,139.79999999999998,0.2801603206412826,-0.6000000000000001,0.8
68,193.0,39.446,-72.20000000000002,-0.37604166666666655,-100.0,0.8
69,61.0,12.505,-95.4,-1.59,-100.0,0.8
70,191.0,38.934,-86.79999999999998,-0.4568421052631578,-100.0,0.8
71,78.0,16.172,-86.39999999999998,-1.1220779220779222,-100.0,0.8
72,21.0,4.552,-97.8,-4.89,-100.0,0.8
73,24.0,5.929,-101.8,-4.426086956521738,-100.0,0.8
74,13.0,2.93,-100.0,-8.333333333333334,-100.0,0.0
75,39.0,8.497999999999998,-102.2,-2.6894736842105265,-100.0,0.8
76,108.0,21.945,-86.39999999999998,-0.8074766355140187,-100.0,0.8
77,174.0,35.121,-75.00000000000007,-0.4335260115606936,-100.0,0.8
78,32.0,6.747,-108.4,-3.496774193548388,-100.0,0.2
79,500.0,100.328,122.39999999999984,0.24529058116232463,-0.6000000000000001,0.8
80,73.0,15.85,-99.4,-1.3805555555555555,-100.0,0.8
81,24.0,5.103,-106.0,-4.608695652173913,-100.0,0.2
82,458.0,91.98,-32.800000000000026,-0.07177242888402625,-100.0,0.8
83,77.0,15.911,-100.0,-1.3157894736842106,-100.0,0.8
84,24.0,5.139,-105.2,-4.573913043478261,-100.0,0.2
85,50.0,10.317,-108.0,-2.204081632653061,-100.0,0.2
86,34.0,7.132,-111.8,-3.387878787878788,-100.0,0.8
87,390.0,78.781,-48.0000000000001,-0.12339331619537272,-100.0,0.8
88,269.0,54.377,-60.400000000000034,-0.22537313432835815,-100.0,0.8
89,314.0,63.19,-38.60000000000005,-0.12332268370607025,-100.0,0.8
90,245.0,49.326,-78.80000000000008,-0.3229508196721312,-100.0,0.8
91,500.0,100.363,36.79999999999999,0.07374749498997996,-0.6000000000000001,0.8
92,500.0,100.792,59.79999999999988,0.11983967935871744,-0.6000000000000001,0.8
93,375.0,75.644,-29.200000000000045,-0.0780748663101604,-100.0,0.8
94,26.0,5.522,-104.8,-4.192,-100.0,0.0
95,252.0,50.945,-73.4,-0.2924302788844621,-100.0,0.8
96,429.0,86.334,-31.999999999999982,-0.0747663551401869,-100.0,0.8
97,249.0,50.179,-62.00000000000001,-0.25,-100.0,0.8
98,110.0,22.504,-99.2,-0.9100917431192659,-100.0,0.8
99,147.0,29.738,-86.80000000000001,-0.5945205479452055,-100.0,0.8
100,15.0,3.359,-107.8,-7.7,-100.0,-0.6000000000000001
101,131.0,26.743,-77.80000000000001,-0.5984615384615385,-100.0,0.8
102,42.0,8.894,-111.6,-2.721951219512195,-100.0,0.8
103,317.0,63.747,-74.00000000000003,-0.2341772151898734,-100.0,0.8
104,32.0,6.736,-103.8,-3.3483870967741933,-100.0,0.8
105,18.0,3.952,-104.8,-6.164705882352941,-100.0,0.2
106,29.0,6.704,-114.19999999999997,-4.078571428571428,-100.0,0.2
107,100.0,20.353,-94.2,-0.9515151515151516,-100.0,0.8
108,278.0,56.549,-56.00000000000008,-0.20216606498194944,-100.0,0.8
109,23.0,4.919,-102.4,-4.654545454545455,-100.0,0.8
110,230.0,46.742,-83.60000000000005,-0.36506550218340605,-100.0,0.8
111,414.0,83.132,-48.00000000000007,-0.1162227602905569,-100.0,0.8
112,35.0,7.386,-107.0,-3.147058823529412,-100.0,0.2
113,22.0,4.699,-104.0,-4.9523809523809526,-100.0,0.2
114,327.0,65.985,-41.6,-0.1276073619631902,-100.0,0.8
115,17.0,3.906,-108.2,-6.7625,-100.0,0.2
116,24.0,5.136,-105.2,-4.573913043478261,-100.0,0.2
117,249.0,50.139,-68.20000000000005,-0.275,-100.0,0.8
118,500.0,100.382,118.19999999999986,0.23687374749499,-0.6000000000000001,0.8
119,500.0,100.828,101.39999999999992,0.20320641282565127,-0.6000000000000001,0.8
120,28.0,6.003,-115.6,-4.281481481481482,-100.0,-0.6000000000000001
121,500.0,101.013,104.39999999999988,0.20921843687374747,-0.6000000000000001,0.8
122,31.0,6.566,-104.6,-3.4866666666666664,-100.0,0.2
123,230.0,46.369,-93.0,-0.40611353711790393,-100.0,0.8
124,489.0,98.23500000000001,-43.59999999999978,-0.08934426229508198,-100.0,0.8
125,251.0,50.611,-64.00000000000006,-0.256,-100.0,0.8
126,52.0,10.911,-117.4,-2.3019607843137257,-100.0,0.0
127,17.0,4.135,-109.0,-6.8125,-100.0,-0.6000000000000001
128,500.0,100.343,114.79999999999994,0.23006012024048095,-0.6000000000000001,0.8
129,478.0,96.207,-13.799999999999827,-0.028930817610062873,-100.0,0.8
130,149.0,30.555,-95.4,-0.6445945945945946,-100.0,0.8
131,34.0,7.085,-104.8,-3.175757575757576,-100.0,0.2
132,48.0,10.151,-109.19999999999997,-2.323404255319149,-100.0,0.2
133,137.0,27.702,-95.0,-0.6985294117647057,-100.0,0.8
134,156.0,31.744,-82.20000000000003,-0.5303225806451614,-100.0,0.8
135,283.0,56.919,-43.200000000000045,-0.15319148936170213,-100.0,0.8
136,39.0,8.793,-119.0,-3.131578947368421,-100.0,0.2
137,16.0,3.488,-108.4,-7.2266666666666675,-100.0,-0.6000000000000001
138,16.0,3.759,-100.0,-6.666666666666666,-100.0,0.0
139,43.0,8.977,-105.8,-2.519047619047619,-100.0,0.8
140,398.0,79.973,-63.60000000000005,-0.1602015113350126,-100.0,0.8
141,360.0,72.32099999999998,-19.800000000000026,-0.055153203342618376,-100.0,0.8
142,82.0,16.944,-114.6,-1.4148148148148147,-100.0,0.8
143,500.0,100.366,107.99999999999989,0.2164328657314629,-0.6000000000000001,0.8
